file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/The_3ML_workflow.ipynb,1114465,521,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/The_3ML_workflow.ipynb,24161582,546,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/The_3ML_workflow.ipynb,1114465,3369,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/The_3ML_workflow.ipynb,24161582,3394,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/The_3ML_workflow.ipynb,1114465,4830,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/The_3ML_workflow.ipynb,24161582,4855,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/The_3ML_workflow.ipynb,1114465,5637,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/The_3ML_workflow.ipynb,24161582,5662,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/xspec_models.ipynb,1114465,614,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/xspec_models.ipynb,24161582,639,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,1114465,575,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,24161582,600,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,1114465,1424,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,24161582,1449,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,1114465,2231,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,24161582,2256,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,1114465,3038,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,24161582,3063,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,1114465,3861,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,24161582,3886,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,1114465,4722,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,24161582,4747,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,1114465,5815,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,24161582,5840,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,1114465,6651,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Photometry_demo.ipynb,24161582,6676,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,1114465,608,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,24161582,633,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,1114465,1421,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,24161582,1446,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,1114465,2277,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,24161582,2302,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,1114465,3196,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,24161582,3221,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,1114465,4776,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Building_Plugins_from_TimeSeries.ipynb,24161582,4801,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,521,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,546,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,1576,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,1601,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,2387,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,2412,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,3408,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,3433,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,4197,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,4222,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,5270,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,5295,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,6059,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,6084,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,7104,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,7129,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,7893,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,7918,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,8707,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,8732,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,9744,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,9769,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,10533,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,10558,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,11579,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,11604,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,12368,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,12393,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,13390,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,13415,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,14186,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,14211,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,15153,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,15178,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,15949,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,15974,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,1114465,16770,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/docs/notebooks/Bayesian_tutorial.ipynb,24161582,16795,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,951,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,976,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,1739,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,1764,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,2529,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,2554,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,3329,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,3354,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,4121,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,4146,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,5176,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,5201,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,5969,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,5994,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,6763,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,6788,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,7557,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,7582,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,8350,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,8375,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,1114465,9143,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/Plotting_showcase.ipynb,24161582,9168,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,1114465,924,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,24161582,949,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,1114465,1716,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,24161582,1741,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,1114465,2519,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,24161582,2544,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,1114465,3515,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,24161582,3540,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,1114465,4316,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,24161582,4341,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,1114465,5143,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,24161582,5168,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,1114465,5935,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/Fermi_GBM_LLE_Demo.ipynb,24161582,5960,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/gbm_lle_catalog_demo.ipynb,1114465,1432,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/gbm_lle_catalog_demo.ipynb,24161582,1457,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/gbm_lle_catalog_demo.ipynb,1114465,2394,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/gbm_lle_catalog_demo.ipynb,24161582,2419,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/gbm_lle_catalog_demo.ipynb,1114465,3435,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/gbm_lle_catalog_demo.ipynb,24161582,3460,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/gbm_lle_catalog_demo.ipynb,1114465,4420,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/gbm_lle_catalog_demo.ipynb,24161582,4445,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/FermiGBMTTELike_Demo.ipynb,1114465,552,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/FermiGBMTTELike_Demo.ipynb,24161582,577,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/3ML/examples/obsolete/FermiGBMTTELike_Demo.ipynb,1114465,1638,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
