file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_08_B_Metro_Diversity.py,4700614,570,# legend foo https://stackoverflow.com/questions/4700614/how-to-put-the-legend-out-of-the-plot
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_06_B_Generators.ipynb,231855,29,      "* [iterator - The Python yield keyword explained - Stack Overflow](http://stackoverflow.com/questions/231767/the-python-yield-keyword-explained/231855#231855)\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_06_B_Generators.ipynb,102632,32,      "Why use generators: http://stackoverflow.com/a/102632/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_05_B_Geographical_Hierarchies.ipynb,3437130,294,      "* then use [numpy.in1d](http://docs.scipy.org/doc/numpy/reference/generated/numpy.in1d.html), which is a analogous to the [in](http://stackoverflow.com/a/3437130/7782) operator to test membership in a list"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_F_Groupby.py,14734627,153,# http://stackoverflow.com/a/14734627/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_F_Groupby.py,19804282,154,# http://stackoverflow.com/questions/19804282/in-pandas-is-there-something-like-a-groupby-get-group-but-with-an-optional-defa
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_F_Groupby.py,19530568,210,# http://stackoverflow.com/questions/19530568/can-pandas-groupby-aggregate-into-a-list-rather-than-sum-mean-etc
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.ipynb,24377,70,      "* See [Build a Basic Python Iterator](http://stackoverflow.com/a/24377/7782) and \n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.ipynb,231767,71,      "[The Python yield keyword explained](http://stackoverflow.com/questions/231767/the-python-yield-keyword-explained)\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.ipynb,509295,619,      "http://stackoverflow.com/a/509295/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.ipynb,6771620,1291,      "#http://stackoverflow.com/a/6771620/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.ipynb,2254663,2402,      "Now I thought I'd be able to use a `n0.__eq__(5)` but nope -- it's complicated -- see http://stackoverflow.com/questions/2281222/why-when-in-python-does-x-y-call-y-eq-x#comment2254663_2282795"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_01_B_World_Population.ipynb,15889203,491,      "# http://stackoverflow.com/a/15889203/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_21_A_scrape_world_population.ipynb,1779324,26,      "# http://stackoverflow.com/a/1779324/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_21_A_scrape_world_population.ipynb,15889203,631,      "# http://stackoverflow.com/a/15889203/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_12_B_Baby_Names_Starter.ipynb,3584933,2056,      "# meaning of 111: http://stackoverflow.com/a/3584933/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_12_B_Baby_Names_Starter.ipynb,3584933,2096,      "# meaning of 111: http://stackoverflow.com/a/3584933/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_C_Census.ipynb,13130357,1219,      "#http://stackoverflow.com/a/13130357/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_A_PfDA.py,17295128,56,#http://stackoverflow.com/a/17295128/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_05_C_Displaying_Census_URLs.py,10233141,57,    # see http://stackoverflow.com/a/10233141/7782 for meaning of doseq
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_05_C_Displaying_Census_URLs.py,15074386,135,    # http://stackoverflow.com/a/15074386/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_16_A_DimpleJS_Example.py,22185527,5,# http://stackoverflow.com/questions/22185527/how-can-i-successfully-load-dimple-js-when-require-js-is-present
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_A_PfDA.ipynb,17295128,119,      "#http://stackoverflow.com/a/17295128/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_05_B_Geographical_Hierarchies.py,3437130,120,# * then use [numpy.in1d](http://docs.scipy.org/doc/numpy/reference/generated/numpy.in1d.html), which is a analogous to the [in](http://stackoverflow.com/a/3437130/7782) operator to test membership in a list
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_B_Google_Chart_Example.ipynb,9519673,72,      "callback<http://stackoverflow.com/questions/9519673/why-does-google-load-cause-my-page-to-go-blank>\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_C_Google_Map_API.ipynb,9519673,532,      "callback <http://stackoverflow.com/questions/9519673/why-does-google-load-cause-my-page-to-go-blank>\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_C_Google_Map_API.ipynb,8361021,535,      "Also: [javascript - Google Maps API v3 - TypeError: Result of expression 'google.maps.LatLng' undefined] is not a constructor - Stack Overflow](http://stackoverflow.com/questions/6577404/google-maps-api-v3-typeerror-result-of-expression-google-maps-latlng-undef/8361021#8361021)\n"
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_A_leaflet.ipynb,14603398,21,      "I have a question:  can you use requirejs to deal with non-AMD JavaScript files?  According to http://stackoverflow.com/a/14603398/7782: maybe.  Seems to be affirmed by [Requirement #9:  Load any script](http://requirejs.org/docs/requirements.html#9)."
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_A_leaflet.ipynb,4724676,45,      "    // load css if it's not already there: http://stackoverflow.com/a/4724676/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_A_leaflet.ipynb,4724676,123,        "    // load css if it's not already there: http://stackoverflow.com/a/4724676/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_A_leaflet.ipynb,4724676,198,      "    // load css if it's not already there: http://stackoverflow.com/a/4724676/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_A_leaflet.ipynb,4724676,278,        "    // load css if it's not already there: http://stackoverflow.com/a/4724676/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_A_leaflet.ipynb,4724676,353,      "    // load css if it's not already there: http://stackoverflow.com/a/4724676/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_A_leaflet.ipynb,4724676,452,        "    // load css if it's not already there: http://stackoverflow.com/a/4724676/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_A_leaflet.ipynb,4724676,566,        "    // load css if it's not already there: http://stackoverflow.com/a/4724676/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_12_B_Baby_Names_Starter.py,3584933,491,# meaning of 111: http://stackoverflow.com/a/3584933/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_12_B_Baby_Names_Starter.py,3584933,519,# meaning of 111: http://stackoverflow.com/a/3584933/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_05_C_Displaying_Census_URLs.ipynb,10233141,110,      "    # see http://stackoverflow.com/a/10233141/7782 for meaning of doseq\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_05_C_Displaying_Census_URLs.ipynb,15074386,210,      "    # http://stackoverflow.com/a/15074386/7782\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_16_A_DimpleJS_Example.ipynb,22185527,14,      "# http://stackoverflow.com/questions/22185527/how-can-i-successfully-load-dimple-js-when-require-js-is-present\n",
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_B_HackFSM.py,5724453,62,# http://stackoverflow.com/a/5724453/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_19_B_HackFSM.py,17690738,455,# http://stackoverflow.com/questions/17690738/in-pandas-how-do-i-convert-a-string-of-date-strings-to-datetime-objects-and-put
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.py,24377,39,# * See [Build a Basic Python Iterator](http://stackoverflow.com/a/24377/7782) and 
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.py,231767,40,# [The Python yield keyword explained](http://stackoverflow.com/questions/231767/the-python-yield-keyword-explained)
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.py,509295,214,# http://stackoverflow.com/a/509295/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.py,6771620,454,#http://stackoverflow.com/a/6771620/7782
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_04_B_numpy_and_pandas_series.py,2254663,743,# Now I thought I'd be able to use a `n0.__eq__(5)` but nope -- it's complicated -- see http://stackoverflow.com/questions/2281222/why-when-in-python-does-x-y-call-y-eq-x#comment2254663_2282795
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_C_Google_Map_API.py,9519673,268,# callback <http://stackoverflow.com/questions/9519673/why-does-google-load-cause-my-page-to-go-blank>
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_C_Google_Map_API.py,8361021,271,# Also: [javascript - Google Maps API v3 - TypeError: Result of expression 'google.maps.LatLng' undefined] is not a constructor - Stack Overflow](http://stackoverflow.com/questions/6577404/google-maps-api-v3-typeerror-result-of-expression-google-maps-latlng-undef/8361021#8361021)
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_07_B_Google_Chart_Example.py,9519673,24,# callback<http://stackoverflow.com/questions/9519673/why-does-google-load-cause-my-page-to-go-blank>
/Users/jacob.caulfield/Documents/GitHub4/Analyzing-Open-Data/notebooks/Day_05_A_Geographical_Hierarchies.py,3437130,120,# * then use [numpy.in1d](http://docs.scipy.org/doc/numpy/reference/generated/numpy.in1d.html), which is a analogous to the [in](http://stackoverflow.com/a/3437130/7782) operator to test membership in a list
