post_id,before,after,before_span,after_span
4700614,1,4,98327370,132887061
231855,21,22,167448548,191116409
102632,1,0,84681939,0
3437130,0,1,0,42520874
14734627,0,1,0,73688351
19804282,2,0,8506321,0
19530568,0,0,0,0
24377,1,5,145124530,180174626
231767,15,19,167451468,190498690
509295,1,6,158547964,190299237
6771620,0,1,0,103290033
2254663,1,0,126247795,0
15889203,2,1,26796080,8676787
1779324,1,0,139821202,0
3584933,0,0,0,0
13130357,0,3,0,182074275
17295128,0,0,0,0
10233141,0,0,0,0
15074386,0,1,0,136587644
22185527,2,1,4752022,96807613
9519673,1,0,61633799,0
8361021,0,1,0,66049187
14603398,0,0,0,0
4724676,1,0,103375694,0
5724453,0,0,0,0
17690738,1,1,24700942,72017441
32647365,0,0,0,0
