post_id,creation_span,revision_span
4700614,98357601,137510484
231855,167479039,191087609
102632,170444198,-84710739
3437130,110957214,42492074
14734627,32111136,73659551
19804282,8568209,-8532666
19530568,9793908,-9793908
24377,172770515,180145826
231767,167480692,190469890
509295,158579859,190291278
6771620,81055209,103261233
2254663,126276992,-126276595
15889203,26825181,8647987
1779324,139852232,-139850002
3584933,111654589,-111654589
13130357,40732718,182045475
17295128,20124481,-20124481
10233141,57426063,-57426063
15074386,30462340,136558844
22185527,4786368,96778813
9519673,61663007,-61662599
8361021,69429873,66020387
14603398,39215671,-39215671
4724676,103404896,-103404494
5724453,95501659,-95501659
17690738,24729839,71988641
