file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,1114465,1066,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,24161582,1091,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,1114465,1887,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,24161582,1912,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,1114465,2706,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,24161582,2731,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,1114465,3556,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,24161582,3581,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,1114465,4345,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/Week3.ipynb,24161582,4370,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,1114465,1066,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,24161582,1091,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,1114465,1887,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,24161582,1912,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,1114465,2706,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,24161582,2731,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,1114465,3556,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,24161582,3581,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,1114465,4345,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 3/.ipynb_checkpoints/Week3-checkpoint.ipynb,24161582,4370,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,492,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,517,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,1367,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,1392,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,2175,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,2200,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,2983,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
