post_id,count
12007820,1
12093364,2
969709,2
1019040,2
807863,1
32899,1
41115661,1
40309602,1
21074460,1
333995,1
3721249,1
5928725,1
3349125,1
849211,1
27673463,1
1336663,1
15857818,1
5491708,1
4187185,1
40190849,1
15390807,1
11316539,1
28549402,1
36531120,1
28548457,1
22281524,1
1055360,1
2158395,1
15099647,1
7946798,1
6422700,1
5352649,1
9819602,1
3124155,1
15411967,1
3403973,1
9829578,1
7422204,2
9166400,1
9166671,1
9168169,1
9459208,1
10818546,1
2371436,2
3867028,2
14088375,1
11174702,1
8031418,1
876853,1
1114465,2
24161582,2
