post_id,before,after,before_span,after_span
12007820,0,0,0,0
12093364,1,0,4475951,0
969709,5,0,238876935,0
1019040,1,0,252523176,0
807863,1,0,317744089,0
32899,3,0,209451222,0
41115661,0,0,0,0
40309602,1,0,50771017,0
21074460,1,0,169061748,0
333995,1,1,322094252,43410160
3721249,0,0,0,0
5928725,0,0,0,0
3349125,1,0,115178621,0
849211,3,0,296115562,0
27673463,3,0,118442445,0
1336663,0,0,0,0
15857818,0,0,0,0
5491708,1,0,208305367,0
4187185,1,0,71123391,0
40190849,2,0,72997011,0
15390807,1,0,105471814,0
11316539,9,0,176761103,0
28549402,2,1,126017758,34263641
36531120,0,1,0,15813936
28548457,0,0,0,0
22281524,1,0,155699386,0
1055360,0,0,0,0
2158395,5,1,203756878,16728813
15099647,2,0,60924253,0
7946798,1,3,80203396,141596034
6422700,1,0,23670748,0
5352649,1,1,149256164,9901709
9819602,5,0,227457939,0
3124155,1,0,282323130,0
15411967,0,0,0,0
3403973,1,0,201473947,0
9829578,3,1,172375227,65643528
7422204,0,0,0,0
9166400,5,0,221758436,0
9166671,6,0,103427929,0
9168169,0,0,0,0
9459208,2,0,101622173,0
10818546,3,1,211981805,47778148
2371436,0,0,0,0
3867028,0,0,0,0
14088375,0,0,0,0
11174702,1,0,218083185,0
8031418,2,1,108839746,28084765
876853,1,0,171150670,0
1114465,1,0,183577891,0
24161582,0,1,0,458783
