post_id,creation_span,revision_span
12007820,154826213,-154826213
12093364,154310107,-4504751
969709,238906914,-235232815
1019040,252552331,-252551976
807863,317790998,-317772889
32899,338954599,-12883857
41115661,68692160,-68692160
40309602,50800153,-50799817
21074460,169092208,-169090548
333995,322173449,43381360
3721249,167396975,-167396975
5928725,233337038,-233337038
3349125,257931101,-115207421
849211,296145238,-75034246
27673463,118471902,-82478884
1336663,302731607,-302731607
15857818,188746122,-188746122
5491708,257105195,-208334167
4187185,228286211,-151605472
40190849,73034114,-72770467
15390807,161645465,-105500614
11316539,176790357,-176723950
28549402,126048139,34234841
36531120,57829606,15785136
28548457,94015644,-94015644
22281524,155800974,-155728186
1055360,289926027,-289926027
2158395,293903967,16700013
15099647,60953247,-60952974
7946798,80232710,141567234
6422700,115452054,-23699548
5352649,149285389,9872909
9819602,227505686,-199008367
3124155,282352989,-282351930
15411967,99596988,-99596988
3403973,201503149,-201502747
9829578,172405844,65614728
7422204,234369692,-234369692
9166400,221841467,-220017816
9166671,103457936,-103400111
9168169,103450796,-103450796
9459208,101709272,-101650634
10818546,212010992,47749348
2371436,185496154,-185496154
3867028,166810806,-166810806
14088375,183719558,-183719558
11174702,218113093,-218111985
8031418,219937806,28055965
876853,315982237,-171179470
1114465,215704157,95200021
24161582,60559401,429983
