file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Including_radioactive_isotopes.ipynb,1114465,657,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Including_radioactive_isotopes.ipynb,24161582,682,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Including_radioactive_isotopes.ipynb,1114465,1589,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Including_radioactive_isotopes.ipynb,24161582,1614,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,1114465,556,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,24161582,581,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,1114465,1433,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,24161582,1458,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,1114465,2250,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,24161582,2275,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,1114465,3154,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,24161582,3179,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,1114465,3968,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,24161582,3993,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,1114465,4815,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,24161582,4840,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,1114465,5628,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Using_neutron_star_mergers.ipynb,24161582,5653,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,1114465,538,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,24161582,563,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,1114465,1382,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,24161582,1407,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,1114465,2206,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,24161582,2231,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,1114465,3064,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,24161582,3089,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,1114465,3938,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,24161582,3963,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,1114465,4758,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,24161582,4783,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,1114465,5624,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/NuPyCEE/DOC/Capabilities/Timesteps_size_management.ipynb,24161582,5649,       " * http://stackoverflow.com/a/24161582/3208463\n",
