path,line_number,pid,indents
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/deque_list_benchmarks.py,12,23487307,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,5,4,8,0,8,8,8,8,8,8,8,12,16,30,30,16"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/deque_list_benchmarks.py,13,1296511,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,5,4,8,0,8,8,8,8,8,8,8,12,16,30,30,16"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/deque_list_benchmarks.py,18,1436020,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,4,8,0,0,4,5,4,8,0,8,8,8,8,8,8,8,12,16,30,30,16"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/cppimport/cii_atom_hashing_distribution/cii_atom_hashing_distribution.py,57,22676,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,8,0,8,12,16,16,20,0,8,8,8,8,0,4,0,0,0,4,8,5,4,0,0,0,0,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/mupdf_4839427ab0_hotfix.py,10,22905316,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,8,8,0,0,0,4,4,8,5,0,0,4,5,4,8,8,8,0,8,12,12,0,8,12,13,12,12,12,12,0,12,16,16,20,16,20,16,20,0,4,8,8,0,0,0,4,8,0,4,4,8,0,4,4,8,8,9,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/mupdf_4839427ab0_hotfix.py,112,13673060,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,8,8,0,0,0,4,4,8,5,0,0,4,5,4,8,8,8,0,8,12,12,0,8,12,13,12,12,12,12,0,12,16,16,20,16,20,16,20,0,4,8,8,0,0,0,4,8,0,4,4,8,0,4,4,8,8,9,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/numutil.py,105,1094717,"0,0,0,0,0,0,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,0,4,8,4,8,12,12,12,12,8,12,12,16,12,0,0,0,4,0,4,4,4,4,0,0,0,4,4,0,0,0,4,0,4,4,4,4,4,4,8,4,8,0,0,0,4,4,0,0,0,4,0,4,4,4,4,4,4,0,0,0,4,4,5,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/numutil.py,106,209513,"0,0,0,0,0,0,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,0,4,8,4,8,12,12,12,12,8,12,12,16,12,0,0,0,4,0,4,4,4,4,0,0,0,4,4,0,0,0,4,0,4,4,4,4,4,4,8,4,8,0,0,0,4,4,0,0,0,4,0,4,4,4,4,4,4,0,0,0,4,4,5,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/numutil.py,107,1837874,"0,0,0,0,0,0,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,0,4,8,4,8,12,12,12,12,8,12,12,16,12,0,0,0,4,0,4,4,4,4,0,0,0,4,4,0,0,0,4,0,4,4,4,4,4,4,8,4,8,0,0,0,4,4,0,0,0,4,0,4,4,4,4,4,4,0,0,0,4,4,5,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/numutil.py,108,379906,"0,0,0,0,0,0,0,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,0,4,8,4,8,12,12,12,12,8,12,12,16,12,0,0,0,4,0,4,4,4,4,0,0,0,4,4,0,0,0,4,0,4,4,4,4,4,4,8,4,8,0,0,0,4,4,0,0,0,4,0,4,4,4,4,4,4,0,0,0,4,4,5,0,0,0,0,0"
