file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/deque_list_benchmarks.py,23487307,11,http://stackoverflow.com/questions/23487307/python-deque-vs-list-performance-comparison
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/deque_list_benchmarks.py,1296511,12,http://stackoverflow.com/questions/1296511/efficiency-of-using-a-python-list-as-a-queue
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/deque_list_benchmarks.py,1436020,17,http://stackoverflow.com/questions/1436020/c-stl-containers-whats-the-difference-between-deque-and-list
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/cppimport/cii_atom_hashing_distribution/cii_atom_hashing_distribution.py,22676,56,# [How do I download a file over HTTP using Python?](http://stackoverflow.com/questions/22676/how-do-i-download-a-file-over-http-using-python)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/mupdf_4839427ab0_hotfix.py,22905316,9,#    https://stackoverflow.com/questions/22905316/fatal-error-compiler-limit-when-building-cimg
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/mupdf_4839427ab0_hotfix.py,13673060,111,# https://stackoverflow.com/questions/13673060/split-string-into-strings-by-length
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/numutil.py,1094717,104,# [Convert a string to integer with decimal in Python](http://stackoverflow.com/questions/1094717/convert-a-string-to-integer-with-decimal-in-python)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/numutil.py,209513,105,# [Convert hex string to int in Python](http://stackoverflow.com/questions/209513/convert-hex-string-to-int-in-python)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/numutil.py,1837874,106,# [Invalid Token when using Octal numbers](http://stackoverflow.com/questions/1837874/invalid-token-when-using-octal-numbers)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/numutil.py,379906,107,# [Parse String to Float or Int](http://stackoverflow.com/questions/379906/parse-string-to-float-or-int)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/SetPEVersion.py,4568580,189,# [Python glob multiple filetypes](http://stackoverflow.com/questions/4568580/python-glob-multiple-filetypes)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/imgutils.py,22351254,12,# https://stackoverflow.com/questions/22351254/python-script-to-convert-image-into-byte-array
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/SymPy/folium_of_Descartes.py,35390187,27,# https://stackoverflow.com/questions/35390187/using-sympy-equations-for-plotting
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/SymPy/folium_of_Descartes.py,25791425,28,# https://stackoverflow.com/questions/25791425/plot-with-sympy-in-python-3
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/uriutils.py,9535732,36,# https://stackoverflow.com/questions/9535732/how-to-extract-all-the-urls-from-a-website
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/uriutils.py,802134,38,# https://stackoverflow.com/questions/802134/changing-user-agent-on-urllib2-urlopen
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/return_in_generator.py,1995418,96,# [Python: generator expression vs. yield](http://stackoverflow.com/questions/1995418/python-generator-expression-vs-yield)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/return_in_generator.py,16780002,97,# [Return in generator together with yield in Python 3.3](http://stackoverflow.com/questions/16780002/return-in-generator-together-with-yield-in-python-3-3)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/return_in_generator.py,231767,98,# [What does the yield keyword do in Python?](http://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do-in-python)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/argument_test.py,1419046,26,# http://stackoverflow.com/questions/1419046/python-normal-arguments-vs-keyword-arguments
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/argument_test.py,13687043,27,# http://stackoverflow.com/questions/13687043/python-optional-positional-and-keyword-arguments
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/RegKey.py,16672856,54,# http://stackoverflow.com/questions/16672856/allow-help-to-work-on-partial-function-object
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/MoviesScreenshotsMgr.py,825678,34,# [What is the best way to generate a unique and short file name in Java](http://stackoverflow.com/questions/825678/what-is-the-best-way-to-generate-a-unique-and-short-file-name-in-java)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/MoviesScreenshotsMgr.py,4657974,35,# [How to Generate unique file names in C#](http://stackoverflow.com/questions/4657974/how-to-generate-unique-file-names-in-c-sharp)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/fileutil.py,1035340,154,        # http://stackoverflow.com/questions/1035340/reading-binary-file-in-python
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/fileutil.py,4566498,156,        # http://stackoverflow.com/questions/4566498/python-file-iterator-over-a-binary-file-with-newer-idiom
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/fileutil.py,2404430,267,# [Does filehandle get closed automatically in Python after it goes out of scope?](http://stackoverflow.com/questions/2404430/does-filehandle-get-closed-automatically-in-python-after-it-goes-out-of-scope)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/fileutil.py,1834556,268,# [Does a File Object Automatically Close when its Reference Count Hits Zero?](http://stackoverflow.com/questions/1834556/does-a-file-object-automatically-close-when-its-reference-count-hits-zero)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/fileutil.py,1984325,269,# [Explaining Python's '__enter__' and '__exit__'](http://stackoverflow.com/questions/1984325/explaining-pythons-enter-and-exit)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/fileutil.py,1832528,270,# [Is close() necessary when using iterator on a Python file object](http://stackoverflow.com/questions/1832528/is-close-necessary-when-using-iterator-on-a-python-file-object)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/fileutil.py,283707,272,# [Size of an open file object](http://stackoverflow.com/questions/283707/size-of-an-open-file-object)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/extract_columns.py,13415400,152,# [How to parse on/off (debug) flag using argparse?](https://stackoverflow.com/questions/13415400/how-to-parse-on-off-debug-flag-using-argparse)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/extract_columns.py,7387744,153,# [How do you find out what the “system default encoding” is?](https://stackoverflow.com/questions/7387744/how-do-you-find-out-what-the-system-default-encoding-is)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/extract_columns.py,15753701,154,# [How can I pass a list as a command-line argument with argparse?](https://stackoverflow.com/questions/15753701/how-can-i-pass-a-list-as-a-command-line-argument-with-argparse)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/extract_columns.py,11847491,155,# [Python: filtering lists by indices](https://stackoverflow.com/questions/11847491/python-filtering-lists-by-indices)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/extract_columns.py,541390,156,# [Extracting extension from filename in Python](https://stackoverflow.com/questions/541390/extracting-extension-from-filename-in-python)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/extract_columns.py,2197451,157,# [Why are empty strings returned in split() results?](https://stackoverflow.com/questions/2197451/why-are-empty-strings-returned-in-split-results)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/soundex_test.py,369755,52,# [How do I do a fuzzy match of company names in MYSQL with PHP for auto-complete?](https://stackoverflow.com/questions/369755/how-do-i-do-a-fuzzy-match-of-company-names-in-mysql-with-php-for-auto-complete)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/notes/netifaces_notes.py,24196932,21,# https://stackoverflow.com/questions/24196932/how-can-i-get-the-ip-address-of-eth0-in-python
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/notes/itertools_notes.py,5234090,25,    # https://stackoverflow.com/questions/5234090/how-to-take-the-first-n-items-from-a-generator-or-list-in-python
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/notes/itertools_notes.py,4152376,26,    # https://stackoverflow.com/questions/4152376/how-to-get-the-n-next-values-of-a-generator-in-a-list-python
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/notes/glob.ipynb,22055500,35,    "# https://stackoverflow.com/questions/22055500/python-glob-issues-with-directory-with-in-name\n"
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/notes/builtins_notes.py,1561214,11,    # https://stackoverflow.com/questions/1561214/python-reverse-generator
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/dat2dcm.py,6608535,382,# [Mandatory Tags for DICOM Instance](http://stackoverflow.com/questions/6608535/mandatory-tags-for-dicom-instance)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/dat2dcm.py,1434918,384,# [Dicom: What's the point of SOPInstanceUID tag?](http://stackoverflow.com/questions/1434918/dicom-whats-the-point-of-sopinstanceuid-tag)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/int_to_bytes.py,21017698,19,# [Converting int to bytes in Python 3](https://stackoverflow.com/questions/21017698/converting-int-to-bytes-in-python-3)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/int_to_bytes.py,6187699,20,# [How to convert integer value to array of four bytes in python](https://stackoverflow.com/questions/6187699/how-to-convert-integer-value-to-array-of-four-bytes-in-python)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/SciPy/filter_demo.py,37571622,24,# https://stackoverflow.com/questions/37571622/matlab-range-in-python
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/re_overlapping_match.py,11430863,16,# [How to find overlapping matches with a regexp?](http://stackoverflow.com/questions/11430863/how-to-find-overlapping-matches-with-a-regexp)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/re_overlapping_match.py,15799332,17,# [Overlapping regex matches](http://stackoverflow.com/questions/15799332/overlapping-regex-matches)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/re_overlapping_match.py,5616822,18,# [Python regex find all overlapping matches?](http://stackoverflow.com/questions/5616822/python-regex-find-all-overlapping-matches)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/GridFS_test.py,1035340,29,        # http://stackoverflow.com/questions/1035340/reading-binary-file-in-python
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/GridFS_test.py,4566498,31,        # http://stackoverflow.com/questions/4566498/python-file-iterator-over-a-binary-file-with-newer-idiom
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/rescrawler.py,273192,196,# https://stackoverflow.com/questions/273192/how-can-i-create-a-directory-if-it-does-not-exist
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/rescrawler.py,8357098,197,# https://stackoverflow.com/questions/8357098/how-can-i-check-if-a-url-is-absolute-using-python
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/rescrawler.py,37748105,199,# https://stackoverflow.com/questions/37748105/how-to-use-progressbar-module-with-urlretrieve
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/rescrawler.py,4533304,202,# https://stackoverflow.com/questions/4533304/python-urlretrieve-limit-rate-and-resume-partial-download
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/rescrawler.py,2021519,203,# https://stackoverflow.com/questions/2021519/download-file-using-urllib-in-python-with-the-wget-c-feature
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/fetch_page.py,696047,111,# https://stackoverflow.com/questions/696047/re-raise-exception-with-a-different-type-and-message-preserving-existing-inform
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/PatientInfoProvider.py,1047580,293,# [MS Access library for python](http://stackoverflow.com/questions/1047580/ms-access-library-for-python)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/python/PatientInfoProvider.py,1611799,295,# [Preserve case in ConfigParser?](http://stackoverflow.com/questions/1611799/preserve-case-in-configparser)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/hashing/atom_hashing_distribution/cii_atom_hashing_dist.py,22676,88,# [How do I download a file over HTTP using Python?](http://stackoverflow.com/questions/22676/how-do-i-download-a-file-over-http-using-python)
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/math/KahanSummation.py,2386772,7,# http://stackoverflow.com/questions/2386772/difference-between-float-and-double
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_unittests.py,5495492,83,# https://stackoverflow.com/questions/5495492/random-byte-string-in-python
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,28941133,154,# https://stackoverflow.com/questions/28941133/what-is-the-encoding-of-the-subprocess-module-output-in-python-2-7
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,20950612,155,# https://stackoverflow.com/questions/20950612/python-ctypes-integer-pointer
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,26277322,156,# https://stackoverflow.com/questions/26277322/passing-arrays-with-ctypes
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,33813272,157,# https://stackoverflow.com/questions/33813272/python-ctypes-pass-c-void-p-as-an-out-parameter-to-c-function
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,46171507,158,# https://stackoverflow.com/questions/46171507/passing-a-byte-array-to-a-c-function-that-accepts-a-void-pointer
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,16676739,159,# https://stackoverflow.com/questions/16676739/python-ctypes-how-to-pass-void-as-argument
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,1546355,160,# https://stackoverflow.com/questions/1546355/using-enums-in-ctypes-structure
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,1615813,163,# https://stackoverflow.com/questions/1615813/how-to-use-c-classes-with-ctypes
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,6221001,164,# https://stackoverflow.com/questions/6221001/calling-uname-from-libc-with-pythons-ctypes
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,18679264,165,# https://stackoverflow.com/questions/18679264/how-to-use-malloc-and-free-with-python-ctypes
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,1363163,166,# https://stackoverflow.com/questions/1363163/pointers-and-arrays-in-python-ctypes
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,15377338,167,# https://stackoverflow.com/questions/15377338/convert-ctype-byte-array-to-bytes
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,24912065,168,# https://stackoverflow.com/questions/24912065/how-to-access-data-from-pointer-in-struct-from-python-with-ctypes
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,54357920,169,# https://stackoverflow.com/questions/54357920/python-ctypes-create-bytearray-from-void
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/coding/base64/base64_c.py,1825715,170,# https://stackoverflow.com/questions/1825715/how-to-pack-and-unpack-using-ctypes-structure-str
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/dsp/FindPeaks/PyFindPeaksTest.py,952914,55,# https://stackoverflow.com/questions/952914/how-to-make-a-flat-list-out-of-list-of-lists
/Users/jacob.caulfield/Documents/GitHub4/Ongoing-Study/algorithm/dsp/FindPeaks/PyFindPeaksEx.py,42950256,37,# [How to import private functions with import *?](https://stackoverflow.com/questions/42950256/how-to-import-private-functions-with-import)
