post_id,before,after,before_span,after_span
23487307,1,0,14514662,0
1296511,1,0,65618234,0
1436020,1,1,160660485,125350673
22676,3,3,266409905,103618525
22905316,0,0,0,0
13673060,1,0,159200537,0
1094717,0,0,0,0
209513,1,1,94562563,35795185
1837874,2,0,167539644,0
379906,5,5,197744878,132348819
4568580,0,0,0,0
22351254,3,0,132818889,0
35390187,2,0,67858241,0
25791425,1,0,27789756,0
9535732,0,0,0,0
802134,0,0,0,0
1995418,2,1,168913742,148934591
16780002,2,1,61768969,131893788
231767,17,17,206654158,151296000
1419046,2,2,165980181,123523786
13687043,0,0,0,0
16672856,1,1,45472342,80918606
825678,2,0,195987395,0
4657974,0,1,0,52581653
1035340,0,5,0,81363268
4566498,0,0,0,0
2404430,0,0,0,0
1834556,0,1,0,68299636
1984325,2,3,164991809,92621650
1832528,0,0,0,0
283707,0,1,0,159646923
13415400,2,0,224924403,0
7387744,1,0,161056864,0
15753701,5,0,224928860,0
11847491,1,0,249703604,0
541390,5,0,359604767,0
2197451,3,0,328791948,0
369755,5,0,275688468,0
24196932,2,1,155485648,7377689
5234090,2,0,96885173,0
4152376,0,0,0,0
22055500,0,0,0,0
1561214,0,0,0,0
6608535,1,0,41061942,0
1434918,0,2,0,57382396
21017698,2,0,83537217,0
6187699,2,0,258992113,0
37571622,0,0,0,0
11430863,1,0,87382261,0
15799332,1,0,64357737,0
5616822,0,1,0,50953474
273192,13,3,290237772,41673840
8357098,0,0,0,0
37748105,0,0,0,0
4533304,2,0,296234348,0
2021519,0,0,0,0
696047,5,0,281116948,0
1047580,0,0,0,0
1611799,3,0,176835139,0
2386772,2,2,83740112,100358845
5495492,0,1,0,33966448
28941133,1,0,135437179,0
20950612,0,0,0,0
26277322,0,0,0,0
33813272,0,0,0,0
46171507,2,0,56233922,0
16676739,0,0,0,0
1546355,0,0,0,0
1615813,2,0,305108105,0
6221001,7,0,254386022,0
18679264,1,0,182837791,0
1363163,0,0,0,0
15377338,0,0,0,0
24912065,0,0,0,0
54357920,1,0,13053203,0
1825715,0,0,0,0
952914,8,2,299633487,27476953
42950256,1,0,106055248,0
41709257,4,0,79139649,0
8409095,1,1,189788337,26373285
25150955,3,0,117327637,0
18239373,2,0,157361510,0
22459020,3,0,138794715,0
2492077,4,0,263967147,0
2849010,2,0,259766706,0
