post_id,creation_span,revision_span
23487307,14545242,-14543462
1296511,163273088,-65647034
1436020,160759210,125321873
22676,266860183,103589725
22905316,123667518,-123667518
13673060,166043235,-159229337
1094717,180429039,-180429039
209513,203249904,35766385
1837874,167609218,-167567379
379906,197776441,132320019
4568580,183239942,-183239942
22351254,132848758,-132552667
35390187,67912126,-55180063
25791425,112904516,-27818556
9535732,185370482,-185370482
802134,280881984,-280881984
1995418,168948887,148905791
16780002,61798056,131864988
231767,206683382,151267200
1419046,166011281,123494986
13687043,64343258,-64343258
16672856,45504717,80889806
825678,196016843,-89070312
4657974,142805207,52552853
1035340,169385882,81334468
4566498,121433978,-121433978
2404430,159191523,-159191523
1834556,167495715,68270836
1984325,165027816,92592850
1832528,167515331,-5751170
283707,200668455,159618123
13415400,241017696,-117947348
7387744,278251813,-161085664
15753701,229222571,-23881526
11847491,249734395,-249732404
541390,359633959,-120028761
2197451,328821377,-275826869
369755,275717714,-9554618
24196932,155515112,7348889
5234090,210007896,-10480022
4152376,220141413,-220141413
22055500,131892934,-131892934
1561214,254154974,-254154974
6608535,117311195,-41090742
1434918,174214275,57353596
21017698,176603524,-70326986
6187699,259021489,-237176737
37571622,110309656,-110309656
11430863,87411661,-87411061
15799332,64386868,-64386537
5616822,126917907,50924674
273192,290267441,41645040
8357098,198942485,-198942485
37748105,56224349,-56224349
4533304,296263653,-94077646
2021519,326738972,-326738972
696047,281147593,-64974226
1047580,187153391,-60245170
1611799,176868419,-47390174
2386772,152556284,100330045
5495492,259921044,33937648
28941133,135567190,-135465979
20950612,172455179,-172455179
26277322,148614108,-148614108
33813272,113505227,-113505227
46171507,56263443,-56261559
16676739,192308408,-192308408
1546355,306341303,-306341303
1615813,305137354,-139428964
6221001,254415551,-65925996
18679264,182867644,-182866591
1363163,309648914,-309648914
15377338,198318024,-198318024
24912065,155345564,-155345564
54357920,13087591,-13082003
1825715,302130359,-302130359
952914,299664824,27448153
42950256,106089302,-106084048
41709257,79190921,-29650060
8409095,240669611,26344485
25150955,126606700,-23641205
18239373,157390860,-157353434
22459020,138823842,-111958071
2492077,264635236,-38353972
2849010,259795789,-44923098
