file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,1114465,541,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,24161582,566,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,1114465,1330,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,24161582,1355,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,1114465,2119,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,24161582,2144,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,1114465,2971,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,24161582,2996,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,1114465,3760,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,24161582,3785,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,1114465,4549,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,24161582,4574,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,1114465,5387,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,24161582,5412,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,1114465,6176,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,24161582,6201,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/PPMnotebooks/PPMtools/PPMtools_diffusion_analysis.ipynb,1114465,6965,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
