file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,1114465,629,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,24161582,654,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,1114465,1508,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,24161582,1533,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,1114465,2315,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,24161582,2340,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,1114465,3124,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,24161582,3149,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,1114465,3963,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark.ipynb,24161582,3988,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,1114465,502,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,24161582,527,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,1114465,1367,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,24161582,1392,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,1114465,2205,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,24161582,2230,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,1114465,3080,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,24161582,3105,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,1114465,3935,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,24161582,3960,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,1114465,4868,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook_mark_speed.ipynb,24161582,4893,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook.ipynb,1114465,628,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook.ipynb,24161582,653,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook.ipynb,1114465,1551,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook.ipynb,24161582,1576,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook.ipynb,1114465,2361,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook.ipynb,24161582,2386,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook.ipynb,1114465,3173,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/compscie-mc/jupyter_notebooks/presentation_notebook.ipynb,24161582,3198,       " * http://stackoverflow.com/a/24161582/3208463\n",
