post_id,before,after,before_span,after_span
6599172,4,0,209440508,0
45507,0,0,0,0
13876875,2,0,105564750,0
2806897,0,2,0,54315683
10376206,2,0,160072085,0
10653590,0,0,0,0
18969093,1,1,149446557,63619414
23462494,3,1,56815679,191443
36228537,1,0,69827078,0
5599254,2,0,237758408,0
388595,3,0,323984450,0
21666229,1,0,93077164,0
5033547,1,0,77316823,0
909155,2,0,296455451,0
2043259,4,2,276604433,51047771
9275132,3,0,115228684,0
7778444,1,0,149886662,0
449560,5,1,333404554,18371541
1611799,3,0,338946419,0
1835018,1,1,208688930,25112963
14630288,0,0,0,0
11618277,3,0,156718846,0
2523676,1,0,203340916,0
18534919,2,0,94458066,0
2000045,1,0,124556932,0
14719760,3,0,179721249,0
14692131,3,0,125147558,0
29206404,5,0,58045163,0
712580,9,1,291515882,7610193
5601590,0,0,0,0
1455126,0,0,0,0
12158463,2,1,163441088,48924115
49925,6,0,319349661,0
1869753,5,0,279949618,0
16335011,2,0,172767316,0
96553,1,0,167914856,0
13197574,3,0,75992467,0
812925,2,0,224700535,0
9692665,0,0,0,0
866272,1,1,31815742,115928111
16280918,0,0,0,0
10335561,1,0,203635217,0
14713774,2,0,180109218,0
907806,3,1,243089827,547871
3151469,1,0,189195731,0
13090907,0,0,0,0
5440657,2,2,65200319,71012033
3297048,1,2,126094280,128184584
12881294,1,1,135513274,9047406
16750464,2,0,77101117,0
2805701,0,0,0,0
991926,1,1,95225211,2408429
4938491,0,0,0,0
3400641,1,0,165729136,0
1929707,4,0,186938022,0
43893853,2,0,73009859,0
26221669,1,0,98731109,0
4150258,0,0,0,0
32340806,0,0,0,0
2636536,0,0,0,0
6791911,0,1,0,35745836
32111203,0,0,0,0
11206884,1,0,182372785,0
17313532,0,0,0,0
26862942,0,0,0,0
8609192,2,2,68312724,131480629
12822847,1,0,119579353,0
11721818,1,1,11246166,43143574
7908349,0,0,0,0
23372786,0,0,0,0
7121341,0,0,0,0
5329586,0,0,0,0
2049502,5,0,259778816,0
24519559,0,0,0,0
20309954,0,0,0,0
3068843,0,1,0,16407732
6680631,0,0,0,0
7860612,0,0,0,0
14345303,0,1,0,47437353
19406859,0,0,0,0
7443366,0,0,0,0
5424942,1,0,168310659,0
2580543,2,0,269124992,0
2575016,0,0,0,0
12297156,2,0,118600905,0
1803628,-1,-1,-1,-1
13243766,0,0,0,0
356100,1,1,121757292,65502538
1644856,0,0,0,0
8903239,0,1,0,104277639
1951506,0,2,0,128270799
59895,7,6,151211757,135927561
23611396,0,0,0,0
320232,1,0,232097525,0
641420,0,0,0,0
287757,1,0,235240810,0
9662346,2,0,162071731,0
753052,1,0,119328175,0
3662142,2,0,209794568,0
2831212,0,1,0,107988918
10017147,3,0,54273816,0
3512471,3,5,102645198,124568407
15099150,0,0,0,0
164979,3,0,365303181,0
361975,4,2,308126220,39908301
834788,6,0,246981291,0
179085,0,0,0,0
11436469,2,1,137275877,47688018
2292662,2,1,212656289,42377349
767657,5,0,238935609,0
6626810,1,1,25301314,41984735
7356108,0,0,0,0
14600619,0,0,0,0
21668606,1,0,147956444,0
35655257,0,2,0,22365180
3862310,4,2,186904675,46321325
2020014,1,0,98831567,0
27387415,1,0,14802235,0
2077897,1,2,95222284,21000207
5917082,1,0,170796727,0
1056323,2,1,319122480,26017144
546433,3,2,240577303,76787746
7898310,0,0,0,0
2715847,3,1,99165152,73718025
286614,0,0,0,0
82831,24,2,340771484,26192720
12992165,0,0,0,0
18671528,2,0,181676680,0
19087189,4,0,217835655,0
1958219,2,0,326630757,0
2759756,1,0,325449389,0
7522250,2,0,223787206,0
