post_id,creation_span,revision_span
6599172,255680579,-40507463
45507,345036984,-345036984
13876875,105597686,-82012567
2806897,187548038,54286883
10376206,242582280,-142435663
10653590,123730855,-123730855
18969093,149479769,63590614
23462494,129596444,162643
36228537,69898197,-69855878
5599254,237791911,-229072491
388595,324013678,-58500588
21666229,93106289,-93105964
5033547,271830047,-77345623
909155,296543320,-290468991
2043259,276633848,51018971
9275132,210647565,-29785600
7778444,149933111,-149915462
449560,333479543,18342741
1611799,338979699,-209501454
1835018,208718408,25084163
14630288,180000670,-35184605
11618277,196794129,-65999908
2523676,270250895,-203369716
18534919,103798773,-11535922
2000045,222558231,-124585732
14719760,179750100,-179749011
14692131,125176395,-125176151
29206404,58074027,-58067157
712580,291545320,7581393
5601590,185331244,-185331244
1455126,286652430,-286652430
12158463,163484682,48895315
49925,319397897,-18238049
1869753,279979539,-279883354
16335011,172796919,-172796116
96553,318515371,-167943656
13197574,188417265,-51496163
812925,326315205,-175942904
9692665,235847160,-235847160
866272,224703015,115899311
16280918,173040173,-173040173
10335561,204834418,-203664017
14713774,180198273,-144221147
907806,243118949,519071
3151469,189225268,-189224531
13090907,135932114,-135932114
5440657,185543167,70983233
3297048,166929976,128155784
12881294,136306947,-135542074
16750464,77135084,16460103
2805701,174613910,-174613910
991926,203190137,2379629
4938491,149427478,-149427478
3400641,165758532,-165757936
1929707,186974574,-186962487
43893853,73099515,-73031075
26221669,154849660,-98759909
4150258,278260448,-278260448
32340806,126552781,-126552781
2636536,191729265,-191729265
6791911,148476195,35717036
32111203,155288486,-155282474
11206884,182402550,-182401585
17313532,167969398,-167969398
26862942,124497012,-124497012
8609192,122042231,131451829
12822847,119608659,-119608153
11721818,125838966,43114774
7908349,168987555,-168987555
23372786,89850663,-89850663
7121341,174891896,-174891896
5329586,146328741,-146328741
2049502,259808965,-33196633
24519559,126029350,-126029350
20309954,144395320,-144395320
3068843,169769855,16378932
6680631,136059162,-136059162
7860612,127329103,-127329103
14345303,89855041,47408553
19406859,79943452,-79943452
7443366,221578638,-221578638
5424942,238652208,-168339459
2580543,269154822,-269147901
2575016,269252552,-269252552
12297156,118630518,-118627895
13243766,187478487,-187478487
356100,230906650,65473738
1644856,202991006,12148584
8903239,132980382,104248839
1951506,198265144,128241999
59895,238571920,135898761
23611396,59919922,-59919922
320232,232129035,-232126325
641420,222906965,-222906965
287757,235278650,-235269610
9662346,162181581,-93214403
753052,253893436,-119356975
3662142,209824371,-209823233
2831212,183830909,107960118
10017147,136134750,-29003446
3512471,160259396,124539607
15099150,177688874,-177688874
164979,365388890,-30526880
361975,308687815,39879501
834788,252313336,-23023785
179085,316685126,-316685126
11436469,137304754,47659218
2292662,212687151,57048129
767657,238996306,-65413441
6626810,163066220,41955935
7356108,163378965,-163378965
14600619,177736053,-177736053
21668606,148076217,-147985244
35655257,16705962,22336380
3862310,186935228,46292525
2020014,302696947,-98860367
27387415,146797931,-14831035
2077897,301905368,-143802143
5917082,170825637,-170825527
1056323,319151529,25988344
546433,240739739,76758946
7898310,155681514,-155681514
2715847,200899285,73689225
286614,313510609,-313510609
82831,340800462,26163920
12992165,211693359,-211693359
18671528,209375645,-163804684
19087189,217867023,-44538923
1958219,326719039,-209499900
2759756,325480732,-325478189
7522250,223816572,-80773474
