post_id,count
279237,97
1015307,1
13850114,1
8122734,1
27914204,1
15167200,1
15411967,1
2663612,1
8906926,1
434287,2
12561063,1
24873302,1
15644964,1
16694907,2
1112343,1
23149218,1
7456933,1
20445733,1
23576681,1
4801403,3
16945518,1
7352684,2
9457832,1
15047116,1
141779,1
3433486,1
6800193,1
7436801,1
14775916,1
18007995,1
1526794,1
9524933,1
8226278,1
41048643,1
6760685,1
938733,1
1331471,1
18625510,1
1697501,1
24207353,1
16259923,1
2892931,1
28455982,1
2247205,1
14693701,2
1175208,1
427472,2
11063458,2
579687,1
1335507,1
3911560,1
141351,1
2629680,1
15605925,1
31363311,1
33024215,1
5884066,2
3431825,1
5001893,1
23565889,1
21071448,1
7168790,1
1653970,1
7335992,2
1871549,1
5721529,1
2806897,1
22472124,1
7674790,1
51658,1
15607903,1
1392413,1
2692873,1
1405913,1
8850484,1
14788036,1
437589,1
8015163,1
15974100,1
18737863,1
2046603,1
1196074,1
15063963,1
17717829,1
44313620,2
1707709,1
14050281,1
41720952,1
8843062,1
651794,2
1151658,2
38987,1
10193235,1
22663966,1
8230315,1
11561932,2
24369666,1
30469575,1
7489732,1
1158076,1
19859840,3
23598461,1
23598289,1
1447575,1
20794,1
17078696,1
16150557,1
33332462,1
11125212,1
15706339,1
