file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/differential_geometry_curves.ipynb,1114465,548,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/differential_geometry_curves.ipynb,24161582,573,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,1114465,984,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,24161582,1009,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,1114465,1797,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,24161582,1822,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,1114465,2611,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,24161582,2636,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,1114465,3437,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,24161582,3462,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,1114465,4237,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,24161582,4262,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,1114465,5037,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,24161582,5062,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/notebooks_examples/point_source_halfspace.ipynb,1114465,5837,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
