file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Traitement_images/Example_code/MECA653_ImageProcessing_Europe.ipynb,1114465,488,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Traitement_images/Example_code/MECA653_ImageProcessing_Europe.ipynb,24161582,513,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Traitement_images/Example_code/.ipynb_checkpoints/MECA653_ImageProcessing_Europe-checkpoint.ipynb,1114465,488,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Traitement_images/Example_code/.ipynb_checkpoints/MECA653_ImageProcessing_Europe-checkpoint.ipynb,24161582,513,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Python/Example_code/GameOfLife.ipynb,1114465,567,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Python/Example_code/GameOfLife.ipynb,24161582,592,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Python/Example_code/GameOfLife.ipynb,1114465,1378,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Python/Example_code/GameOfLife.ipynb,24161582,1403,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Python/Example_code/.ipynb_checkpoints/GameOfLife-checkpoint.ipynb,1114465,567,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/numerical_analysis/doc/Python/Example_code/.ipynb_checkpoints/GameOfLife-checkpoint.ipynb,24161582,592,       " * http://stackoverflow.com/a/24161582/3208463\n",
