post_id,count
17485382,1
6336424,2
35526466,1
5811960,11
9226516,6
3224268,12
8928240,1
13180941,5
3429250,1
2422798,1
14973963,1
1319615,1
699866,1
16396141,1
9252373,3
5218895,1
3400495,1
7015487,1
579687,2
22075754,1
20598791,1
6018340,1
8899905,1
3013449,1
5212870,1
26660654,1
415511,1
8259001,3
4480075,1
26744366,1
16522380,1
10856106,1
4896288,3
4084322,1
24180527,1
1641280,1
1396668,1
6190776,1
10220599,1
2844516,1
19143091,1
25447803,1
39359245,2
6591931,2
455612,3
311627,2
8036499,3
10695139,3
4072150,1
8830507,1
3794268,1
31584415,1
12014210,1
281888,1
13588908,2
25734244,1
26348989,1
32038701,1
715417,1
3962247,8
17657212,2
3085696,1
6920302,2
13954841,1
11047803,1
459083,1
3789372,1
1444159,3
390250,9
16704408,1
18536182,2
231767,2
10576548,1
295135,1
42950,1
15114023,1
7816363,1
15004772,1
4741243,1
7588511,1
12400256,1
5214578,1
12550929,1
3977570,1
39087139,1
44887576,1
15466469,1
33121545,1
35111894,1
6789351,1
13114953,2
10174211,1
15159854,1
510972,1
8009882,1
3277503,1
4647050,1
5676646,2
19775685,2
2405590,1
5624912,6
5384914,1
969285,8
8487673,1
5191830,1
5082753,1
10007443,1
31078728,2
3249524,1
21025959,1
6526923,1
