post_id,before,after,before_span,after_span
17485382,1,0,117738408,0
6336424,1,0,557270,0
35526466,0,0,0,0
5811960,0,0,0,0
9226516,1,1,157417243,9252804
3224268,2,0,207413603,0
8928240,1,0,24794710,0
13180941,2,0,141332528,0
3429250,2,0,205127264,0
2422798,2,0,218002188,0
14973963,1,1,138087741,8627055
1319615,2,1,248367611,48650180
699866,3,1,148859734,61416876
16396141,1,0,153886953,0
9252373,1,0,192288740,0
5218895,2,0,200122311,0
3400495,0,0,0,0
7015487,2,0,173287780,0
579687,3,0,250859767,0
22075754,0,0,0,0
20598791,0,0,0,0
6018340,0,0,0,0
8899905,4,1,195232620,9510520
3013449,4,3,245815968,78255667
5212870,0,1,0,3935666
26660654,0,1,0,18619240
415511,4,4,261877871,84257370
8259001,0,0,0,0
4480075,2,0,5672540,0
26744366,1,0,18733936,0
16522380,1,0,22254719,0
10856106,0,0,0,0
4896288,4,1,189367382,15379702
4084322,4,0,229427824,0
24180527,1,0,43652653,0
1641280,1,0,92614318,0
1396668,1,0,27707905,0
6190776,1,0,31185346,0
10220599,0,0,0,0
2844516,1,0,68906232,0
19143091,0,0,0,0
25447803,1,0,77572427,0
39359245,0,0,0,0
6591931,0,0,0,0
455612,6,1,253984672,20371588
311627,4,3,258908927,103793294
8036499,2,0,107539071,0
10695139,1,0,148633309,0
4072150,2,0,124708300,0
8830507,2,0,54287103,0
3794268,1,0,59817383,0
31584415,1,0,48639901,0
12014210,2,1,141043564,6151799
281888,2,0,259854449,0
13588908,1,1,132786081,110439363
25734244,1,0,75924643,0
26348989,0,0,0,0
32038701,0,0,0,0
715417,3,2,247499391,83218101
3962247,1,0,198856471,0
17657212,2,0,112388333,0
3085696,1,1,36496283,84233641
6920302,4,0,55587889,0
13954841,0,2,0,40551227
11047803,0,0,0,0
459083,1,0,138477644,0
3789372,0,0,0,0
1444159,0,0,0,0
390250,3,0,256215767,0
16704408,1,0,92007856,0
18536182,2,0,109462165,0
231767,29,5,262791464,95158694
10576548,3,1,151132100,7440992
295135,4,0,260645618,0
42950,0,3,0,94800193
15114023,1,0,126308923,0
7816363,2,0,169288250,0
15004772,3,0,129760919,0
4741243,2,1,96755991,105191346
7588511,1,0,188061536,0
12400256,4,0,157783127,0
5214578,3,2,186830361,84519944
12550929,2,0,137896977,0
3977570,2,1,241914103,1084040
39087139,1,0,51983232,0
44887576,10,1,25045803,55720960
15466469,1,0,57126014,0
33121545,0,0,0,0
35111894,2,0,70424568,0
6789351,3,2,212878291,52978285
13114953,1,0,172754299,0
10174211,0,1,0,42663337
15159854,1,0,124140701,0
510972,6,1,252534130,50022807
8009882,2,6,165874995,99913743
3277503,6,8,206796532,56038720
4647050,1,1,191544298,9254314
5676646,1,1,16935446,32213211
19775685,1,0,119194305,0
2405590,2,0,246970808,0
5624912,0,0,0,0
5384914,1,0,78590600,0
969285,2,3,226362112,37647350
8487673,0,0,0,0
5191830,3,2,80112259,13492021
5082753,2,0,187882232,0
10007443,0,0,0,0
31078728,1,0,66666510,0
3249524,7,0,222875774,0
21025959,1,1,97002373,46969777
6526923,1,0,163072690,0
