post_id,creation_span,revision_span
17485382,117767788,-117767208
6336424,182784246,-586070
35526466,48125696,-48125696
5811960,182369928,-182369928
9226516,157446602,9224004
3224268,207442502,-150817088
8928240,170215934,-24823510
13180941,141361420,-141360429
3429250,205158104,-95899367
2422798,218031451,-218030646
14973963,138117529,8598255
1319615,248397860,48621380
699866,256762061,61388076
16396141,153916553,-153915753
9252373,192317938,-192317540
5218895,222254503,16997381
3400495,205450297,-205450297
7015487,173318422,-173316078
579687,250888668,-1825262
22075754,92795544,-92795544
20598791,129857297,-129857297
6018340,216534717,-216534717
8899905,195262384,9481720
3013449,245923297,78226867
5212870,222647969,3906866
26660654,107394496,18590440
415511,261929615,84228570
8259001,178423534,-178423534
4480075,200498431,-5701340
26744366,106263633,-18762736
16522380,155448892,-22283519
10856106,185319808,-185319808
4896288,221405946,15350902
4084322,229456842,-96191367
24180527,116764820,-43681453
1641280,260210457,-92643118
1396668,264544411,53913817
6190776,208332241,-31214146
10220599,180991996,-180991996
2844516,242965793,-68935032
19143091,105582378,-105582378
25447803,77604509,-77601227
39359245,13112441,-13112441
6591931,176387095,-109562282
455612,254014749,20342788
311627,258938323,103764494
8036499,165648487,-54234368
10695139,148662468,25842723
4072150,197679431,-60252967
8830507,159971591,-46341218
3794268,200890966,-59846183
31584415,48670779,-48668701
12014210,141072694,6122999
281888,259885854,-45548457
13588908,132891513,110410563
25734244,76100733,-75953443
26348989,73082414,-73082414
32038701,59709870,-59709870
715417,247529490,83189301
3962247,198890258,-198885271
17657212,112417362,-92712585
3085696,209185536,84204841
6920302,173986656,-54149716
13954841,130388895,40522427
11047803,146565651,-146565651
459083,253919711,-138506444
3789372,203798780,-203798780
1444159,233041796,-233041796
390250,256245898,-238958490
16704408,117043561,-92036656
18536182,109492177,-109450819
231767,262820688,95129894
10576548,151172331,7412192
295135,260708632,-7321632
42950,267640815,94771393
15114023,126339845,-126337723
7816363,169317145,-169317006
15004772,129789987,-78737080
4741243,192839523,105162546
7588511,188090653,-188090336
12400256,157812738,-7146357
5214578,186859433,84491144
12550929,137927147,-137925080
3977570,241943043,1055240
39087139,52012890,-52012032
44887576,25075130,-25069144
15466469,160609815,-57154814
33121545,79443500,-79443500
35111894,70454281,-70453292
6789351,212924055,52949485
13114953,172783565,-172783099
10174211,190279013,42918551
15159854,124169924,-124169501
510972,252569882,49994007
8009882,165904161,99884943
3277503,206825449,56009920
4647050,191653141,-191573098
5676646,183447229,32184411
19775685,119223593,-119223105
2405590,247000693,-6134745
5624912,199498469,-199498469
5384914,207601643,-78619400
969285,258273814,-88612413
8487673,183454589,-183454589
5191830,214394887,13463221
5082753,187915192,-120611664
10007443,152789426,-152789426
31078728,66701227,-66695310
3249524,222906089,-94691408
21025959,97032031,46940977
6526923,192660579,-163101490
