file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/06 Lagrange Interpolation.ipynb,1114465,471,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/12 Animations.ipynb,1114465,663,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/12 Animations.ipynb,1114465,1445,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/12 Animations.ipynb,1114465,2250,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/12 Animations.ipynb,1114465,3045,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/12 Animations.ipynb,1114465,3901,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/12 Animations.ipynb,1114465,4731,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/12 Animations.ipynb,1114465,5558,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/12 Animations.ipynb,1114465,6353,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/12 Animations.ipynb,1114465,7149,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/10 SymPy.ipynb,1114465,690,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/10 SymPy.ipynb,1114465,1463,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/10 SymPy.ipynb,1114465,2268,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/10 SymPy.ipynb,1114465,3307,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/10 SymPy.ipynb,1114465,4168,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/10 SymPy.ipynb,1114465,5015,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/10 SymPy.ipynb,1114465,5819,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/10 SymPy.ipynb,1114465,6855,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,530,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,1349,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,2161,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,2938,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,3738,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,4544,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,5295,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,6046,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,6813,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,7564,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,8315,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,9085,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/09 Floating point numbers.ipynb,1114465,9829,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/TA Class Notes/Interpolation.ipynb,1114465,409,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/TA Class Notes/Interpolation.ipynb,1114465,1125,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/TA Class Notes/Interpolation.ipynb,1114465,1828,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/04 NumPy basics.ipynb,1114465,471,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/04 NumPy basics.ipynb,1114465,1138,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/04 NumPy basics.ipynb,1114465,1892,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/04 NumPy basics.ipynb,1114465,2560,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/07 Data structures.ipynb,1114465,519,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/07 Data structures.ipynb,1114465,1301,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/07 Data structures.ipynb,1114465,2090,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/07 Data structures.ipynb,1114465,2856,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/07 Data structures.ipynb,1114465,3756,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/07 Data structures.ipynb,1114465,4584,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/07 Data structures.ipynb,1114465,5423,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/07 Data structures.ipynb,1114465,6285,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/07 Data structures.ipynb,1114465,7029,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/homework/HW06_sol.ipynb,1114465,617,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/homework/HW06_sol.ipynb,1114465,1392,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/homework/HW06_sol.ipynb,1114465,2184,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/homework/HW06_sol.ipynb,1114465,2973,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/homework/HW06_sol.ipynb,1114465,3877,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/python-for-scientific-computing/homework/HW06_sol.ipynb,1114465,4642,        "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
