post_id,before,after,before_span,after_span
616645,5,1,300981654,9356275
24931,1,0,317696649,0
4675728,2,0,242077133,0
2996887,12,0,261272808,0
4985080,2,1,239653662,39138624
4984428,1,0,147877710,0
27921629,0,0,0,0
538666,1,2,164520087,45794255
787287,0,0,0,0
3899980,0,1,0,32828659
7125009,1,1,87884282,74586812
952914,7,3,293050064,34060376
480214,5,0,304192621,0
8897593,5,0,238216876,0
2380394,3,0,302741196,0
597476,0,0,0,0
4832357,0,0,0,0
1395151,3,0,255098733,0
5967500,5,1,196869333,93602861
13299550,0,0,0,0
16042647,0,0,0,0
7835030,1,0,234301069,0
49547,10,3,231455984,109163467
3859097,0,0,0,0
2297403,2,2,241810656,85272340
8506897,2,0,199127190,0
5649407,1,0,234408190,0
475074,7,0,301343224,0
5228158,2,0,287785133,0
33019698,0,0,0,0
3410976,1,0,281101843,0
33560364,1,1,79558859,20185167
32404,6,0,310054654,0
34696815,2,0,77618691,0
7085604,0,0,0,0
140111,0,0,0,0
20561990,2,0,143074691,0
18682681,0,0,0,0
1230669,1,0,195256616,0
16333054,2,0,135185641,0
6783921,1,0,96726625,0
264256,1,0,60805286,0
4411757,0,0,0,0
31489757,2,0,119130846,0
32214614,0,0,0,0
36932,3,0,104933636,0
4984647,3,2,41064875,39587111
455059,0,0,0,0
3310584,1,0,19187219,0
15169101,0,0,0,0
5776125,0,0,0,0
312230,3,0,296040318,0
2374427,4,0,269554001,0
908331,2,0,344154532,0
7543452,3,0,185095955,0
3582414,0,0,0,0
17104926,1,0,130822163,0
2203424,0,0,0,0
5067604,1,0,97297792,0
123558,0,0,0,0
2537471,0,2,0,29412811
2441796,1,0,179193181,0
19175311,2,0,124149417,0
24622170,0,0,0,0
870925,0,0,0,0
5631078,1,0,198707156,0
5014700,2,0,48045195,0
6611563,0,0,0,0
12941416,3,0,44981125,0
15381604,1,0,138853626,0
14636192,1,0,107691502,0
1323455,1,0,285980278,0
6455560,0,0,0,0
2546207,2,0,267151178,0
87747,3,0,276822768,0
2937229,1,0,166800484,0
10262426,2,0,105406335,0
409286,6,2,266028588,32134061
32917867,0,0,0,0
34787794,0,0,0,0
1675181,2,0,313103839,0
3055477,2,0,293751540,0
169070,0,1,0,20800442
12041525,0,0,0,0
2656322,2,0,265744616,0
2853723,1,0,37065030,0
1392413,2,0,183264765,0
43878953,0,0,0,0
51264355,0,0,0,0
35344209,1,0,86292359,0
7585435,2,1,219975838,49947536
