post_id,creation_span,revision_span
616645,301011664,9327475
24931,317731580,-317725449
4675728,242419337,-93240972
2996887,261302224,-108021037
4985080,239687409,39109824
4984428,239695074,-147906510
27921629,158304380,-158304380
538666,302756745,45765455
787287,185402814,-185402814
3899980,139297557,32799859
7125009,112231371,74558012
952914,293081401,34031576
480214,304244168,-13336209
8897593,243673145,-19892310
2380394,302772464,-219257391
597476,266258233,-266258233
4832357,211314116,-211314116
1395151,255127772,-112056750
5967500,196921323,93574067
13299550,149635865,-149635865
16042647,142411764,-142411764
7835030,234329911,-234329869
49547,231489481,109134667
3859097,166138864,-166138864
2297403,241949331,85243540
8506897,245887346,-168268723
5649407,234442950,-234436990
475074,304387797,-23864487
5228158,287814639,-287813272
33019698,75544700,-75544700
3410976,281137200,-281130643
33560364,90352312,20156367
32404,310094830,-10261556
34696815,77666969,-77646393
7085604,216496414,-216496414
140111,307586751,-307586751
20561990,143105672,-34487529
18682681,124076062,-124076062
1230669,296752141,-195285416
16333054,135230607,-135213855
6783921,262787582,-96755425
264256,330519717,-60834086
4411757,264371204,-264371204
31489757,119162721,-4331645
32214614,96602583,-96602583
36932,249945449,-58741800
4984647,239534590,39558311
455059,304859605,-304859605
3310584,257416159,-19216019
15169101,139868731,-139868731
5776125,198336711,-198336711
312230,309805858,-176283779
2374427,269583145,-269580443
908331,350087270,-45769234
7543452,185131026,-139833278
3582414,219155035,-219155035
17104926,130851398,-130850963
2203424,236732735,-236732735
5067604,203751128,-97326592
123558,333863540,-333863540
2537471,267279525,29384011
2441796,268580118,-179221981
19175311,124217577,-124177724
24622170,97271204,-97271204
870925,259629871,-259629871
5631078,199463504,-198735956
5014700,204203481,-6509870
6611563,227095400,-227095400
12941416,151551836,-6512199
15381604,138884642,-138882426
14636192,143914864,-107720302
1323455,286009607,-286009078
6455560,196249336,-196249336
2546207,267180537,-61731347
87747,280366088,-11768116
2937229,226868680,-166829284
10262426,167014480,-105434432
409286,271052947,32105261
32917867,58218214,-58218214
34787794,84372632,-84372632
1675181,313134887,-74948115
3055477,293781134,-74947203
169070,288841943,20771642
12041525,166433020,-166433020
2656322,265773731,28258209
2853723,263088889,-37093830
1392413,334977669,-69924998
43878953,98329313,-98329313
51264355,8983139,-8983139
35344209,86323443,-86321159
7585435,220005959,49918736
10459067,201033959,-201005204
1604464,281056014,-123177665
13305290,184775520,-107522888
1094841,290298825,-121559790
125222,314915475,-261057272
42482,316668461,-315665457
25665,317502142,-109851086
5725278,233870188,-41601557
13857856,146657742,-146657742
25228106,129471693,-129468650
653368,264774805,-264774805
510357,268320941,96931330
2408560,233918799,-60335528
12296214,155131157,-155129253
7484454,185533599,-185533599
13131400,150496986,11901121
24683360,97036949,89149525
31992424,62572789,-62572789
1987919,239729861,45182621
4020539,213987588,48551917
13233076,166914649,-166914230
1214496,288159344,3066253
34124636,62465285,-62465285
2953462,176671892,-176671892
316866,224492416,109302818
27804710,94720328,-94720328
530526,191783164,-191499535
151079,203276380,69536438
1061697,179669610,-179669610
1071191,290819452,-147773426
10397968,166174947,-79168408
1883980,276820467,53118630
9475241,188642878,52356558
6116978,230869865,-24389367
1207457,253083753,-43385896
30254739,105463686,-105457909
42980201,71732389,-66471848
9157210,208625912,-208625912
9555133,206274786,-55238423
22094852,113230192,-113230192
19924104,122575241,-122568972
26096355,94837606,92215781
34458583,123031470,-123031470
17602878,141784624,-19817792
29824059,85565595,-19817811
13730107,182496117,21006350
25728472,127036358,-127036358
12821961,165409102,-165409102
12771480,187594865,-111768973
3647692,218333483,-218332318
3365740,256714064,-129284021
20339053,151628686,-151628686
20638040,152912302,-126759925
1776994,243209773,-16954504
3862310,215781969,17445784
128573,281307805,-11740455
27803059,166809070,-166806097
893333,344453784,-39895101
38987,316800118,57533364
4406501,245176627,-68555667
6777485,190794466,-98889560
2315520,235164242,-235164242
17532929,163835748,-163829627
1151658,317057242,-136197889
32888599,128581482,-76746857
16041232,135925578,81447517
1156246,253924394,79561522
4460661,209550312,-184312691
29303902,74583477,-74583477
13990846,145956742,-145956742
2472422,271269020,-271269020
14368290,178769471,-178769471
6578986,192202909,-22655839
31235771,65915416,-6509890
16406798,134179898,-6509855
3768895,216895885,71483318
3151469,224135715,-224134978
3214589,223359622,-180148066
2095520,238130033,-238130033
1386291,259652850,-18627049
2082152,308532796,-53392019
64505,323600245,-323600245
3362600,264688985,-46869441
19237878,149453790,13474818
17071871,159592757,68317530
28757389,105641323,4410278
30086936,99590214,-41483098
49127844,10204630,-10204630
15943769,164869905,24648146
19365513,148767370,-47584809
20094215,152196024,-152180920
15008758,160710269,-28624462
6557407,227614326,-159175551
201282,218983303,2895837
2221250,177347454,-177347454
3343922,162740158,160790
6568098,133214879,-133214879
917431,199525609,-199525609
4205181,136776476,170457543
10263956,92752782,-92752409
5088671,129353083,-129262579
2920364,154932089,-154932089
26899595,14048585,-14048585
6777810,120979261,-46883108
2901453,151253635,172844076
7311990,110754585,-110754312
11053941,86230201,-86230201
6001104,120637518,-120637518
1063770,181434403,-181434403
9337134,124586803,-124585104
6202726,135900646,-135735288
8859353,99500938,3894637
1903041,169528081,-169528081
8562136,177750444,-177670003
5411619,201137885,-188482276
285775,275520297,-121329435
11016935,162454831,-162454831
1345039,250617931,-6509981
37926516,35615034,-35615034
4214173,211973062,-211966999
5599254,234408340,-225688920
36228537,78199340,-78157021
