path,line_number,pid,indents
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/check_barcodes_pyroseq.py,256,20726010,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,8,8,8,12,12,8,8,12,12,12,12,12,8,12,12,8,12,12,12,12,12,8,12,12,8,12,12,12,12,0,4,4,4,8,8,8,8,8,8,8,8,12,8,8,8,8,12,16,4,4,4,8,4,8,4,0,0,0,4,4,8,4,8,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,0,4,4,4,0,4,4,4,0,4,0,0,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,4,4,4,4,4,4,8,8,0,4,16,4,8,8,8,8,4,8,1,8,8,8,0,4,4,0,4,4,4,4,0,4,0,4,4,4,5,4,8,12,5,4,4,4,4,8,8,12,12,16,12,8,12,8,8,8,8,12,8,12,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,4,8,12,16,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,12,16,16,20,16,16,16,16,20,20,20,38,24,24,24,0,20,20,4,4,8,8,4,8,0,0,0,4,4,4,8,12,16,20,20,20,20,20,20,20,20,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,54,4,4,4,0,0,0,4,4,4,4,0"
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/plot-network-graph-june-22-backup.py,184,24662006,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,8,8,4,0,0,4,4,8,8,12,16,8,12,4,4,8,8,12,8,8,12,4,0,0,4,4,8,8,8,8,12,8,8,4,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,4,4,4,8,4,0,0,4,4,4,0,4,4,4,16,0,4,4,4,4,4,4,4,4,4,4,4,0,0,4,0,4,8,4,8,0,0,0,4,4,8,4,8,12,12,12,12,4,0,0,4,4,4,4,4,4,0,4,4,8,0,4,4,4,8,0,4,0,0,4,4,4,0,4,4,4,4,8,8,8,12,8,12,8,8,8,4,4,0,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,4,8,16,0,0,4,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0"
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/plot-network-graph-june-22-backup.py,187,22992009,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,8,8,4,0,0,4,4,8,8,12,16,8,12,4,4,8,8,12,8,8,12,4,0,0,4,4,8,8,8,8,12,8,8,4,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,4,4,4,8,4,0,0,4,4,4,0,4,4,4,16,0,4,4,4,4,4,4,4,4,4,4,4,0,0,4,0,4,8,4,8,0,0,0,4,4,8,4,8,12,12,12,12,4,0,0,4,4,4,4,4,4,0,4,4,8,0,4,4,4,8,0,4,0,0,4,4,4,0,4,4,4,4,8,8,8,12,8,12,8,8,8,4,4,0,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,4,8,16,0,0,4,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0"
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/plot-network-graph-june-22-backup.py,229,7125009,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,8,8,4,0,0,4,4,8,8,12,16,8,12,4,4,8,8,12,8,8,12,4,0,0,4,4,8,8,8,8,12,8,8,4,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,4,4,4,8,4,0,0,4,4,4,0,4,4,4,16,0,4,4,4,4,4,4,4,4,4,4,4,0,0,4,0,4,8,4,8,0,0,0,4,4,8,4,8,12,12,12,12,4,0,0,4,4,4,4,4,4,0,4,4,8,0,4,4,4,8,0,4,0,0,4,4,4,0,4,4,4,4,8,8,8,12,8,12,8,8,8,4,4,0,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,4,8,16,0,0,4,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0"
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/plot-network-graph.py,308,18821795,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,12,8,8,8,8,8,4,0,0,4,0,0,4,4,8,8,12,16,8,12,4,4,8,8,12,8,8,12,4,0,0,4,4,8,8,8,8,12,8,12,8,12,16,8,8,4,0,0,4,4,0,0,0,0,0,0,4,4,8,12,8,12,8,8,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,0,4,4,8,0,4,4,8,4,4,8,4,0,4,4,4,4,0,4,4,4,0,4,4,4,16,0,4,4,8,4,8,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,4,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,8,4,8,4,8,0,0,0,4,4,8,4,8,12,12,16,16,16,12,16,16,16,12,4,0,0,4,4,4,8,12,8,8,8,8,8,4,0,0,4,4,4,8,8,12,8,8,4,4,0,0,4,4,4,4,0,4,4,4,4,0,4,5,4,4,8,8,8,12,8,12,8,8,4,0,4,4,4,4,4,8,4,8,0,4,0,4,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,0,0,4,4,4,5,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,0,4,4,8,0,4,4,4,8,0,4,4,4,4,4,0,4,0,0,4,4,4,0,4,4,4,4,8,8,8,12,8,12,8,8,8,4,4,0,4,4,4,4,4,8,0,4,4,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,4,8,16,0,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0"
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/plot-network-graph.py,313,7125009,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,12,8,8,8,8,8,4,0,0,4,0,0,4,4,8,8,12,16,8,12,4,4,8,8,12,8,8,12,4,0,0,4,4,8,8,8,8,12,8,12,8,12,16,8,8,4,0,0,4,4,0,0,0,0,0,0,4,4,8,12,8,12,8,8,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,0,4,4,8,0,4,4,8,4,4,8,4,0,4,4,4,4,0,4,4,4,0,4,4,4,16,0,4,4,8,4,8,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,4,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,8,4,8,4,8,0,0,0,4,4,8,4,8,12,12,16,16,16,12,16,16,16,12,4,0,0,4,4,4,8,12,8,8,8,8,8,4,0,0,4,4,4,8,8,12,8,8,4,4,0,0,4,4,4,4,0,4,4,4,4,0,4,5,4,4,8,8,8,12,8,12,8,8,4,0,4,4,4,4,4,8,4,8,0,4,0,4,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,0,0,4,4,4,5,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,0,4,4,8,0,4,4,4,8,0,4,4,4,4,4,0,4,0,0,4,4,4,0,4,4,4,4,8,8,8,12,8,12,8,8,8,4,4,0,4,4,4,4,4,8,0,4,4,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,4,8,16,0,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0"
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/plot-network-graph.py,382,24662006,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,12,8,8,8,8,8,4,0,0,4,0,0,4,4,8,8,12,16,8,12,4,4,8,8,12,8,8,12,4,0,0,4,4,8,8,8,8,12,8,12,8,12,16,8,8,4,0,0,4,4,0,0,0,0,0,0,4,4,8,12,8,12,8,8,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,0,4,4,8,0,4,4,8,4,4,8,4,0,4,4,4,4,0,4,4,4,0,4,4,4,16,0,4,4,8,4,8,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,4,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,8,4,8,4,8,0,0,0,4,4,8,4,8,12,12,16,16,16,12,16,16,16,12,4,0,0,4,4,4,8,12,8,8,8,8,8,4,0,0,4,4,4,8,8,12,8,8,4,4,0,0,4,4,4,4,0,4,4,4,4,0,4,5,4,4,8,8,8,12,8,12,8,8,4,0,4,4,4,4,4,8,4,8,0,4,0,4,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,0,0,4,4,4,5,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,0,4,4,8,0,4,4,4,8,0,4,4,4,4,4,0,4,0,0,4,4,4,0,4,4,4,4,8,8,8,12,8,12,8,8,8,4,4,0,4,4,4,4,4,8,0,4,4,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,4,8,16,0,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0"
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/plot-network-graph.py,385,22992009,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,12,8,8,8,8,8,4,0,0,4,0,0,4,4,8,8,12,16,8,12,4,4,8,8,12,8,8,12,4,0,0,4,4,8,8,8,8,12,8,12,8,12,16,8,8,4,0,0,4,4,0,0,0,0,0,0,4,4,8,12,8,12,8,8,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,0,4,4,8,0,4,4,8,4,4,8,4,0,4,4,4,4,0,4,4,4,0,4,4,4,16,0,4,4,8,4,8,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,4,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,8,4,8,4,8,0,0,0,4,4,8,4,8,12,12,16,16,16,12,16,16,16,12,4,0,0,4,4,4,8,12,8,8,8,8,8,4,0,0,4,4,4,8,8,12,8,8,4,4,0,0,4,4,4,4,0,4,4,4,4,0,4,5,4,4,8,8,8,12,8,12,8,8,4,0,4,4,4,4,4,8,4,8,0,4,0,4,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,0,0,4,4,4,5,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,0,4,4,8,0,4,4,4,8,0,4,4,4,4,4,0,4,0,0,4,4,4,0,4,4,4,4,8,8,8,12,8,12,8,8,8,4,4,0,4,4,4,4,4,8,0,4,4,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,4,8,16,0,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0"
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/plot-network-graph-oct-20-backup.py,277,7125009,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,12,8,8,8,8,8,4,0,0,4,0,0,4,4,8,8,12,16,8,12,4,4,8,8,12,8,8,12,4,0,0,4,4,8,8,8,8,12,8,12,8,12,16,8,8,4,0,0,4,4,0,0,0,0,0,0,4,4,8,12,8,12,8,8,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,0,4,4,8,0,4,4,8,4,4,8,4,0,4,4,4,4,0,4,4,4,0,4,4,4,16,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,0,4,8,4,8,4,8,0,0,0,4,4,8,4,8,12,12,16,16,16,12,16,16,16,12,4,0,0,4,4,4,8,12,8,8,8,8,8,4,0,0,4,4,4,8,8,12,8,8,4,4,0,0,4,4,4,4,0,4,4,4,4,0,4,5,4,4,8,8,8,12,8,12,8,8,4,0,4,4,4,4,4,4,8,0,4,0,4,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,0,4,4,8,0,4,4,4,8,0,4,4,4,4,4,0,4,0,0,4,4,4,0,4,4,4,4,8,8,8,12,8,12,8,8,8,4,4,0,4,4,4,4,4,8,0,4,4,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,4,8,16,0,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0"
/Users/jacob.caulfield/Documents/GitHub4/scripts/python/plot-network-graph-oct-20-backup.py,346,24662006,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,12,8,8,8,8,8,4,0,0,4,0,0,4,4,8,8,12,16,8,12,4,4,8,8,12,8,8,12,4,0,0,4,4,8,8,8,8,12,8,12,8,12,16,8,8,4,0,0,4,4,0,0,0,0,0,0,4,4,8,12,8,12,8,8,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,8,8,0,4,0,4,4,8,0,4,4,8,4,4,8,4,0,4,4,4,4,0,4,4,4,0,4,4,4,16,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0,4,0,4,8,4,8,4,8,0,0,0,4,4,8,4,8,12,12,16,16,16,12,16,16,16,12,4,0,0,4,4,4,8,12,8,8,8,8,8,4,0,0,4,4,4,8,8,12,8,8,4,4,0,0,4,4,4,4,0,4,4,4,4,0,4,5,4,4,8,8,8,12,8,12,8,8,4,0,4,4,4,4,4,4,8,0,4,0,4,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,0,4,4,8,0,4,4,4,8,0,4,4,4,4,4,0,4,0,0,4,4,4,0,4,4,4,4,8,8,8,12,8,12,8,8,8,4,4,0,4,4,4,4,4,8,0,4,4,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,4,8,16,0,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,4,8,16,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,4,4,4,8,0,4,4,4,4,4,4,4,8,0,4,4,0,4,0,4,4,0,4,4,0,4,4,4,8,16,0,4,4,4,4,4,4,4,0,4,4,4,0,4,4,4,4,8,12,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,4,4,0"
