post_id,creation_span,revision_span
20726010,86709690,-25391166
24662006,69459986,-69459686
22992009,77250651,85245315
7125009,160619711,26169672
18821795,95079591,-18808562
8122079,189509496,-161822498
716477,271968065,-43536674
46580499,3595979,-3595582
613183,274571555,42336551
3820312,225033093,50091027
4534480,181013511,-65175705
1217251,225239667,-225239045
33195384,29240202,-29239372
33001490,72045638,33306203
20983498,127159499,-127158278
6602881,164407388,21148076
25748683,95690708,83422891
