path,line_number,pid,indents
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/hello_python2/hello.py,29,2557110,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,4,0,4,0,0,4"
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/flock_single_app_instance.py,27,220525,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,4,8,8,8,0,8,0,8,8,8,4,8,8,0,0,4"
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/class_attributes.py,27,12409714,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,8,8,0,4,8,0,4,8,8,0,0,0,4,0,4,4,0,4,4,0,4,0,0,0,4"
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/hello_python3/hello.py,29,2557110,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,0,4,4,0,4,4,4,4,4,0,4,4,4,4,0,0,4"
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/pyaudio/list_devices.py,13,20760589,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/lambda_arguments_and_scope_mistakes.py,40,728356,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/lambda_arguments_and_scope_mistakes.py,41,938429,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/lambda_arguments_and_scope_mistakes.py,42,19693782,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/pygtk/python_gtk3_pygobject/dualscreen.py,9,22772968,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,4,0,4,4,4,8,8,8,0,4,0,4,8,8,0,4,4,0,4,4,0,4,4,0,4,0,4,4,4,0,4,4,0,4,4,4,0,4,4,0,4,0,0,4,0"
/Users/jacob.caulfield/Documents/GitHub4/snippets/python/pygtk/python_gtk3_pygobject/application_prevent_multiple_instances.py,9,19072161,"0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,4,4,4,0,4,8,8,0,8,8,8,0,0,0,4,4,4,4,0,4,8,0,8,0,4,8,8,8,8,8,8,12,12,8,12,0,4,8,8,8,8,8,0,0,0,4,4,0,4,0,4,4,0,0,4,0"
