post_id,count
2557110,2
220525,1
12409714,1
20760589,1
728356,2
938429,2
19693782,2
22772968,1
19072161,1
9682297,2
17109634,1
24788003,1
24226781,4
802134,4
7243750,2
9718541,1
9626535,2
22676,1
18675266,16
4065783,3
3177231,5
1236540,5
25480853,2
5886280,1
7966119,1
3962247,2
12364981,2
8691655,2
1892339,1
11373192,2
16621351,1
7370801,2
4765242,2
3908063,1
3876886,1
16311562,2
10556479,1
28521783,1
27156381,3
8482588,4
11874767,1
33371917,3
5328556,3
29175093,2
8248467,1
4285103,2
6855710,2
22445217,1
31715119,1
10562945,4
13670333,1
6854947,2
8480223,14
11606946,4
29055475,5
11606259,1
3448959,1
17535563,2
17631703,4
36555153,2
50830399,1
40580749,1
17834835,1
28660287,1
