post_id,before,after,before_span,after_span
2557110,0,0,0,0
220525,5,0,208752312,0
12409714,0,1,0,112559146
20760589,1,0,105740704,0
728356,0,0,0,0
938429,2,1,219024981,33246460
19693782,0,0,0,0
22772968,1,1,34090758,58509371
19072161,1,0,52902402,0
9682297,2,1,101582951,13862382
17109634,1,0,11944955,0
24788003,3,0,95696820,0
24226781,0,1,0,33221137
802134,0,0,0,0
7243750,0,0,0,0
9718541,0,0,0,0
9626535,0,2,0,89810393
22676,3,3,222660872,147367558
18675266,1,0,58234890,0
4065783,0,0,0,0
25480853,0,0,0,0
3177231,3,0,158702615,0
1236540,2,0,187526814,0
5886280,1,0,132276821,0
7966119,0,1,0,109241822
3962247,1,0,77995627,0
12364981,0,2,0,214620739
8691655,2,1,132468787,38018511
1892339,1,1,27001587,35354464
16621351,2,0,111031258,0
7370801,1,2,99632743,123942326
4765242,2,3,19942083,218457980
3908063,1,1,113953121,94621993
3876886,0,1,0,94621520
10556479,1,0,100672452,0
28521783,0,0,0,0
27156381,2,0,71755907,0
8482588,0,0,0,0
11874767,1,2,150701252,59298524
33371917,0,0,0,0
5328556,1,1,158651426,47273890
29175093,0,0,0,0
8248467,0,3,0,15726766
6855710,1,0,121801193,0
4285103,0,0,0,0
22445217,0,0,0,0
31715119,3,0,101626721,0
13670333,0,0,0,0
11373192,1,0,9695421,0
16311562,0,0,0,0
6854947,0,0,0,0
10562945,0,0,0,0
8480223,0,0,0,0
29055475,1,1,110106775,27204441
11606259,1,0,28972650,0
3448959,1,0,257690646,0
17535563,5,0,165557085,0
17631703,1,0,165332770,0
11606946,1,0,196026647,0
50830399,0,0,0,0
40580749,0,1,0,55280606
36555153,0,0,0,0
17834835,2,0,192667557,0
28660287,1,0,112018388,0
