post_id,creation_span,revision_span
2557110,145235584,99039453
220525,208781215,-8098732
12409714,67762396,112530346
20760589,151118463,-105769504
728356,223901383,-223901383
938429,219130939,33217660
19693782,79893871,-79893871
22772968,36944356,58480571
19072161,52933743,-52931202
9682297,101612658,13833582
17109634,63361692,-11973755
24788003,95727951,-95722239
24226781,39720909,33192337
802134,201522047,-201522047
7243750,127820225,-127820225
9718541,110681821,-110681821
9626535,111243495,89781593
22676,223111150,147338758
18675266,58323991,-58263690
4065783,169317521,-169317521
25480853,28126914,-28126914
3177231,158773888,-38787014
1236540,187556329,-187548238
5886280,132367179,-132305621
7966119,116742523,109213022
3962247,78029414,-78024427
12364981,18107227,214591939
8691655,132515455,37989711
1892339,197309920,35325664
16621351,111061030,-24689660
7370801,151486671,123913526
4765242,85759895,218429180
3908063,114134792,94593193
3876886,114549899,94592720
10556479,100720788,-100701252
28521783,10781439,-10781439
27156381,71787216,-2247679
8482588,192385009,-192385009
11874767,150730544,59269724
33371917,74630976,-8946492
5328556,220296834,47245090
29175093,47155143,-47155143
8248467,162587880,15697966
6855710,183359773,-121829993
4285103,206860133,-206860133
22445217,144871389,-144871389
31715119,101658685,-93992264
13670333,118196861,-118196861
11373192,60710469,-9724221
16311562,206631872,-206631872
6854947,87918989,-87918989
10562945,62941719,-62941719
8480223,215284699,-215284699
29055475,112786202,27175641
11606259,196148166,-29001450
3448959,257719817,-257719446
17535563,165795748,-3523188
17631703,165367991,-165361570
11606946,196056006,-196055447
50830399,50337366,-50337366
40580749,58305380,55251806
36555153,105042915,-105042915
17834835,192697017,-192695798
28660287,112052897,-112047188
