post_id,before,after,before_span,after_span
1015307,1,0,172339943,0
13850114,2,1,112892580,51180067
8122734,0,0,0,0
27914204,2,0,66029,0
15167200,0,0,0,0
15411967,0,0,0,0
2663612,1,0,184059715,0
8906926,1,2,87199322,155117942
434287,2,1,223691869,39921792
12561063,2,0,107335779,0
24873302,1,0,48454625,0
15644964,0,0,0,0
16694907,2,6,85193139,130625067
1112343,2,0,47347268,0
23149218,0,0,0,0
7456933,1,0,149187129,0
20445733,1,0,115846119,0
23576681,3,0,52482460,0
4801403,1,1,161688440,42166954
16945518,1,1,93495687,41742395
7352684,0,1,0,150580486
9457832,1,1,94648971,70593271
15047116,3,0,124056600,0
141779,3,1,227743412,36357991
3433486,1,0,104078581,0
6800193,4,2,162733716,90366188
7436801,0,0,0,0
14775916,1,0,91403348,0
18007995,0,0,0,0
1526794,5,1,120004036,120446470
9524933,1,1,58401686,111841575
8226278,0,0,0,0
41048643,0,3,0,14327892
6760685,10,4,170048801,119515834
938733,1,0,89151160,0
1331471,0,1,0,8274044
18625510,1,1,34267536,82924890
1697501,1,1,237988151,65328412
24207353,2,1,2038414,11482971
16259923,0,1,0,14865764
2892931,0,3,0,102657694
28455982,0,0,0,0
2247205,1,0,213547213,0
14693701,2,0,91828294,0
1175208,2,1,114628804,1996977
427472,4,0,227683321,0
11063458,1,1,80780340,21286422
579687,1,2,185201943,63861362
1335507,0,1,0,151912603
3911560,1,0,129093407,0
141351,1,1,222772138,50301385
2629680,2,2,137307437,94615614
15605925,0,0,0,0
31363311,1,0,35134308,0
33024215,3,0,51397771,0
5884066,0,3,0,145693692
3431825,1,1,20306457,48088738
5001893,3,0,114664368,0
23565889,3,0,12784517,0
21071448,0,1,0,76300131
7168790,0,0,0,0
1653970,2,1,158107385,73977463
7335992,0,0,0,0
1871549,0,2,0,95158260
5721529,3,0,115409639,0
2806897,0,2,0,96714951
22472124,0,0,0,0
7674790,4,0,120268343,0
51658,0,0,0,0
15607903,0,0,0,0
1392413,1,1,13969392,99399175
2692873,1,0,152147026,0
1405913,4,2,155665579,190311947
8850484,1,0,146782317,0
14788036,0,1,0,69782906
437589,3,2,190390519,147490069
8015163,1,1,88708797,154576342
15974100,1,1,56403686,111336277
18737863,0,1,0,167072389
2046603,0,1,0,92209032
1196074,2,1,108886651,38098400
15063963,0,0,0,0
17717829,0,2,0,57436674
44313620,0,2,0,21377
1707709,2,0,180882815,0
14050281,0,0,0,0
41720952,1,0,14266915,0
8843062,0,1,0,19980180
651794,1,0,214166729,0
1151658,4,0,233729844,0
38987,7,11,212348531,161947082
10193235,0,1,0,61832072
22663966,0,0,0,0
8230315,1,2,130268884,55581019
11561932,0,0,0,0
24369666,1,0,48712301,0
30469575,2,0,19524286,0
7489732,1,0,101425856,0
1158076,4,0,222217748,0
19859840,1,1,61079136,22304012
23598461,3,0,21458756,0
23598289,0,1,0,42679849
1447575,0,0,0,0
20794,2,0,97313934,0
17078696,0,0,0,0
16150557,0,0,0,0
33332462,1,0,31007273,0
11125212,2,2,115403881,73201753
15706339,8,0,73391583,0
