post_id,creation_span,revision_span
1015307,172370606,-172368743
13850114,112922464,51151267
8122734,114661954,-114661954
27914204,134301,-49063
15167200,60555692,-60555692
15411967,78983768,-78983768
2663612,184108055,140705678
8906926,87229079,147481037
434287,223921383,39892992
12561063,107364642,-107362791
24873302,48485197,-48483425
15644964,110756719,-110756719
16694907,85222661,130596267
1112343,207190557,-35350624
23149218,49225282,-49098903
7456933,149216339,-149215929
20445733,115875335,-115874919
23576681,52512372,-52467075
4801403,161720511,42138154
16945518,93524614,41713595
7352684,115354122,150551686
9457832,94682173,-94677771
15047116,124085487,-2131793
141779,227772669,36329191
3433486,185970259,-104107381
6800193,164020986,90337388
7436801,133576315,-133576315
14775916,91432617,-91432148
18007995,76357980,-76329645
1526794,211882311,120417670
9524933,136090582,111812775
8226278,144767695,-144767695
41048643,12218,14299092
6760685,170083867,119487034
938733,191410734,-89179960
1331471,174160720,8245244
18625510,34301687,82896090
1697501,238017921,65299612
24207353,52028475,11454171
16259923,123859634,14836964
2892931,125450424,102628894
28455982,96349757,-96349757
2247205,213577801,-213576013
14693701,91857345,-91856421
1175208,205870675,1968177
427472,227712437,-227697135
11063458,80809559,105840849
579687,185230844,63832562
1335507,164678025,151883803
3911560,129122557,-129122207
141351,222812451,50272585
2629680,141812119,94586814
15605925,107653961,-107653961
31363311,35163354,-35163108
33024215,51426717,-51415788
5884066,113987173,145664892
3431825,131245385,48059938
5001893,114693585,-114692279
23565889,12813891,-12106205
21071448,29765544,76271331
7168790,148168139,-148168139
1653970,158139096,73948663
7335992,115086254,-115086254
1871549,158347108,95129460
5721529,115438573,-115433702
2806897,145148770,96686151
22472124,43079820,-43079820
7674790,120297672,-29594514
51658,195630462,-195630462
15607903,72367015,-72367015
1392413,165682296,99370375
2692873,152176597,-152175826
1405913,157181125,190283147
8850484,146812508,-146811117
14788036,60626267,69754106
437589,190419658,169888178
8015163,88740300,154547542
15974100,81152759,111307477
18737863,38145772,167043589
2046603,164655237,92180232
1196074,170726735,38069600
15063963,57760331,-57760331
17717829,63997898,57407874
44313620,10161,-7423
1707709,186289163,-82340902
14050281,112434465,-112434465
41720952,14301301,-14295715
8843062,94689247,19951380
651794,214197121,-74852876
1151658,233760388,-52901035
38987,212415200,161918282
10193235,105602984,61803272
22663966,50398038,-50398038
8230315,130298809,55552219
11561932,109574174,-109574174
24369666,48741580,-48741101
30469575,19601573,-19551950
7489732,101455101,-101454656
1158076,222251086,-129296255
19859840,61110829,22275212
23598461,21497395,-16902698
23598289,53045022,42651049
1447575,217089899,-217089899
20794,251072945,-83134006
17078696,113084686,-113084686
16150557,90294310,-90294310
33332462,31036684,-31036073
11125212,115435497,73172940
15706339,73444402,-72561881
