path,line_number,pid,indents
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/erogetrailers/soft.py,16,38987,"0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,4,6,0,0,0,2,0,2,4,4,4,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,6,6,4,0,4,6,6,4,4,0,2,2,2,4,4,4,4,4,4,6,0,2,4,4,4,4,4,4,0,2,2,2,4,4,4,4,4,4,6,0,2,4,4,4,4,4,2,2,4,4,4,4,4,6,8,8,8,8,6,6,0,2,2,2,2,4,4,4,4,4,6,6,8,8,10,10,10,12,12,12,12,10,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,4,0,2,2,2,4,4,4,4,4,4,4,6,4,0,2,4,4,2,4,4,4,4,4,4,4,4,4,4,2,0,2,2,2,2,2,4,4,4,4,4,4,4,6,8,8,8,10,12,12,14,12,12,14,14,16,16,16,16,16,18,18,18,18,18,18,20,20,20,20,18,12,4,0,0,2,2,2,2,2,2,2,2,2,2,0,0"
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/lingoes/lingoesdb.py,167,842059,"0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,4,0,2,4,4,6,8,8,0,8,8,12,14,14,12,8,8,8,4,6,4,0,2,4,4,4,4,4,6,8,8,12,4,6,0,2,4,4,4,4,4,4,4,4,4,4,6,8,8,10,8,10,8,4,6,0,0,2,2,4,4,4,4,4,6,8,10,8,10,6,8,10,8,10,4,0,2,4,4,4,4,4,4,4,4,4,4,4,6,8,10,10,10,6,6,4,6,6,8,10,0,2,0,2,4,4,4,4,4,4,4,6,4,6,6,8,0,0,2,2,2,2,2,2,2,4,0,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,0,2,4,6,0,2,0,2,2,2,2,2,2,2,2,4,4,4,6,8,8,8,4,0,2,4,4,4,0,2,2,2,2,0,0"
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/lingoes/searchutil.py,52,7380629,"0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,0,0,0,0,0,2,2,2,2,2,2,2,2,4,4,6,4,4,4,4,4,0,0,2,4,0,2,4,4,0,0,0,0,2,4,0,2,4,4,0,2,4,6,4,6,0,0,2,4,4,4,4,4,4,4,4,4,2,0,2,2,2,2,4,0,2,0,0"
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/dictdb/dbutil.py,5,3785294,"0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,6,4,6,0,0"
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/dictdb/edictdb.py,131,13934994,"0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,0,2,4,6,8,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,4,0,2,2,4,6,6,4,2,4,0,2,2,4,4,0,2,4,4,2,4,4,2,4,4,2,2,0,0,0,0,2,2,2,2,2,2,4,6,4,6,6,0,6,6,6,6,2,4,2,0,0,2,2,2,2,2,2,4,6,6,0,6,6,6,6,2,4,2,0,0,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,4,4,4,6,8,8,8,8,8,10,12,12,0,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,4,0,0,2,2,2,0,2,4,6,4,6,0,2,4,4,4,4,4,8,0,2,2,0,0"
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/dictdb/dictdb.py,88,3785294,"0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,4,2,4,4,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,4,2,4,4,2,2,0,0,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,4,2,2,4,0,0,0,0,2,2,2,2,2,2,2,2,4,4,2,4,0,0,2,2,2,2,2,2,2,4,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,4,6,6,6,2,4,2,0,0,2,2,2,2,2,2,4,6,4,6,6,0,6,6,6,2,4,2,0,0,2,2,4,2,0,2,4,4,4,4,0,4,0,4,6,0,0"
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/mecabparser/mecabtagger.py,31,10299807,"0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,4,6,4,2,0,0,2,0,0,2,2,0,0,0,0,0,2,2,2,2,2,4,2,2,2,2,4,4,4,2,0,0,2,2,2,2,2,4,2,2,4,6,8,6,8,6,8,2,0,0,2,2,2,2,2,2,4,4,4,2,4,0,0,0,0,2,4,4,0,2,2,4,6,6,4,0,0,2,0,2,4,4,4,4,0,2,2,0,2,4,0,2,4,4,4,4,4,4,6,8,6,8,8,8,10,12,10,0,2,4,4,4,4,4,4,6,6,6,6,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/socketsvc/socketpack.py,31,444591,"0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,4,4,2,4,2,0,0,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,4,2,4,0,0,2,2,2,2,2,2,2,2,4,6,4,4,2,0,0,2,2,2,2,2,2,4,4,2,2,2,4,4,2,4,4,2,2,4,4,2,4,4,2,2,4,6,4,6,6,6,6,2,0,0,2,0,2,2,4,0,2,2,2,2,2,4,0,2,2,0,0"
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/lec/leconline.py,158,3465704,"0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,4,2,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,6,6,6,8,8,2,2,0,0,2,2,2,2,2,2,2,4,8,8,0,4,4,0,4,4,4,6,4,6,4,0,2,2,2,4,2,4,2,2,2,4,0,2,0,2,2,0,2,0,0,2,2,2,0,2,0,2,2,0,2,4,0,4,4,4,4,0,4,4,0,4,0,4,4,4,4,6,8,4,0,4,4,6,8,4,4,0,4,4,4,4,4,0,4,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/texthook/texthook.py,5,5253854,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,2,4,6,6,6,0,6,6,6,0,6,6,6,6,6,6,0,6,0,4,6,6,6,0,4,4,6,6,6,6,6,8,8,10,8,10,8,6,0,2,2,4,4,4,4,6,6,6,0,4,0,4,4,4,4,0,4,0,4,4,0,4,4,4,6,6,8,8,8,0,4,4,6,6,8,6,4,6,8,8,8,8,0,4,4,6,4,6,6,8,8,0,8,8,0,8,0,4,4,6,4,6,6,8,8,8,0,4,4,6,4,6,6,8,8,8,8,0,4,6,6,4,0,4,4,6,6,0,4,4,6,6,0,4,4,6,6,6,6,6,6,6,0,4,6,6,6,6,0,4,6,6,6,6,0,4,0,4,0,4,0,4,4,0,4,6,6,6,6,0,4,6,6,6,6,0,4,6,6,6,6,0,4,0,4,6,6,4,6,6,0,4,6,6,6,6,6,6,6,8,0,6,6,6,8,10,10,10,8,8,8,8,6,6,8,8,10,10,10,10,10,10,10,10,10,8,0,8,10,10,10,10,10,10,6,6,0,4,6,6,6,6,6,8,8,8,10,8,10,6,0,4,6,6,6,6,6,6,6,6,6,8,10,10,10,8,8,8,6,6,0,4,6,6,6,6,6,6,6,8,6,8,6,6,6,8,6,6,0,4,6,6,6,6,6,6,6,6,8,10,10,10,10,12,14,8,8,10,10,10,12,12,6,6,0,4,4,6,6,6,6,6,0,4,6,6,8,8,8,10,12,0,0,2,4,6,0,4,0,4,4,4,4,0,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,4,0,4,4,0,4,4,4,0,4,4,0,4,0,4,4,4,0,4,4,4,0,4,0,4,4,0,4,4,4,0,4,0,4,0,4,4,0,4,0,0,0,0,0"
