file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/erogetrailers/soft.py,38987,15,# http://stackoverflow.com/questions/38987/how-can-i-merge-union-two-python-dictionaries-in-a-single-expression
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/lingoes/lingoesdb.py,842059,166,  #  USER = getpass.getuser() # http://stackoverflow.com/questions/842059/is-there-a-portable-way-to-get-the-current-username-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/lingoes/searchutil.py,7380629,51,# http://stackoverflow.com/questions/7380629/perform-a-binary-search-for-a-string-prefix-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/dictdb/dbutil.py,3785294,4,# http://stackoverflow.com/questions/3785294/best-way-to-iterate-through-all-rows-in-a-db-table
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/dictdb/edictdb.py,13934994,130,# http://stackoverflow.com/questions/13934994/sqlite-foreign-key-examples
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/dictdb/dictdb.py,3785294,87,# http://stackoverflow.com/questions/3785294/best-way-to-iterate-through-all-rows-in-a-db-table
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/mecabparser/mecabtagger.py,10299807,30,# http://stackoverflow.com/questions/10299807/mecab-path-parameters-doesnot-accept-whitespace
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/socketsvc/socketpack.py,444591,30,# http://stackoverflow.com/questions/444591/convert-a-string-of-bytes-into-an-int-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/lec/leconline.py,3465704,157,#  # See: http://stackoverflow.com/questions/3465704/python-urllib2-urlerror-http-status-code
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/texthook/texthook.py,5253854,4,# See: http://stackoverflow.com/questions/5253854/python-import-dll
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/google/googletrans.py,10334358,145,        # http://stackoverflow.com/questions/10334358/how-to-get-and-parse-json-answer-from-google-translate
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/eztrans/j2kengine.py,13128995,29,# - Use FreeLibrary to unload: http://stackoverflow.com/questions/13128995/ctypes-unload-dll
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/eztrans/j2kengine.py,11939290,30,# - Use GetModuleHandleA to check: http://stackoverflow.com/questions/11939290/how-do-i-find-out-if-my-program-has-a-certain-dll-already-loaded
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/getchu/soft.py,2802168,313,    # http://stackoverflow.com/questions/2802168/find-last-match-with-python-regular-expression
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/getchu/soft.py,2802168,325,  #  # http://stackoverflow.com/questions/2802168/find-last-match-with-python-regular-expression
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/getchu/soft.py,2802168,336,  #  # http://stackoverflow.com/questions/2802168/find-last-match-with-python-regular-expression
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/getchu/soft.py,2802168,357,    # http://stackoverflow.com/questions/2802168/find-last-match-with-python-regular-expression
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/colorconv/colorconv.py,23889620,8,#   http://stackoverflow.com/questions/23889620/is-there-any-other-way-to-convert-rgb-to-hsi
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/colorconv/colorconv.py,23889620,38,# See: http://stackoverflow.com/questions/23889620/is-there-any-other-way-to-convert-rgb-to-hsi
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/mecabjlp/mecabtag.py,10299807,11,# http://stackoverflow.com/questions/10299807/mecab-path-parameters-doesnot-accept-whitespace
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/gameengine/gamedebugger.py,6187699,158,    # http://stackoverflow.com/questions/6187699/how-to-convert-integer-value-to-array-of-four-bytes-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/qtgesture/gesturefilter.py,17418108,265,  See: http://stackoverflow.com/questions/17418108/elegant-way-to-perform-tuple-arithmetic
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/winmirror/mirrorwidgets.py,15306866,105,  # http://stackoverflow.com/questions/15306866/hicon-hbitmap-to-qicon-qpixmap-qimage-anything-with-a-q-in-it
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/winmirror/mirrorwidgets.py,1823762,159,    # http://stackoverflow.com/questions/1823762/sendkeys-for-python-3-1-on-windows
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/winmirror/mirrorwidgets.py,2086017,209,    # http://stackoverflow.com/questions/2086017/how-to-simulate-mousemove-event-from-one-window-to-another
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/winmirror/mirrorwidgets.py,2086017,253,    # http://stackoverflow.com/questions/2086017/how-to-simulate-mousemove-event-from-one-window-to-another
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/winmirror/mirrorwidgets.py,7259847,307,  # http://stackoverflow.com/questions/7259847/forcing-an-aspect-ratio-when-resizing-a-main-window
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skdatetime.py,2775864,16,# See: http://stackoverflow.com/questions/2775864/python-datetime-to-unix-timestamp
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skjson.py,11875770,6,# http://stackoverflow.com/questions/11875770/how-to-overcome-datetime-datetime-not-json-serializable-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/sktypes.py,354038,29,  # http://stackoverflow.com/questions/354038/how-do-i-check-if-a-string-is-a-number-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/sknetio.py,16694907,158,# Stream with requests: http://stackoverflow.com/questions/16694907/how-to-download-large-file-in-python-with-requests-py
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skcontainer.py,480214,4,# http://stackoverflow.com/questions/480214/how-do-you-remove-duplicates-from-a-list-in-python-whilst-preserving-order
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skpaths.py,122327,73,  # http://stackoverflow.com/questions/122327/how-do-i-find-the-location-of-my-python-site-packages-directory
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skyaml.py,20352794,3,# See: http://stackoverflow.com/questions/20352794/pyyaml-is-producing-undesired-python-unicode-output
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skhash.py,1131220,182,# See: http://stackoverflow.com/questions/1131220/get-md5-hash-of-a-files-without-open-it-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skhash.py,7169845,189,    # Change to UNC path: http://stackoverflow.com/questions/7169845/using-python-how-can-i-access-a-shared-folder-on-windows-network
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwinapi.py,1551605,203,# See: http://stackoverflow.com/questions/1551605/how-to-set-applications-taskbar-icon-in-windows-7
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwinapi.py,7921307,316,# See: http://stackoverflow.com/questions/7921307/temporarily-change-cursor-using-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwinapi.py,1872480,585,# http://stackoverflow.com/questions/1872480/use-python-to-extract-listview-items-from-another-application
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwin.py,9920452,115,    # http://stackoverflow.com/questions/1533200/qt-kill-current-process/9920452#9920452
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwin.py,1100605,411,    See: http://stackoverflow.com/questions/1100605/settext-of-textbox-in-external-app-win32-api
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwin.py,6381198,506,  # see: http://stackoverflow.com/questions/6381198/get-window-z-order-with-python-windows-extensions
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwin.py,10085381,619,  # See: http://stackoverflow.com/questions/10085381/how-to-detect-if-autohidden-taskbar-is-visible-or-not
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwin.py,10085381,626,  # See: http://stackoverflow.com/questions/10085381/how-to-detect-if-autohidden-taskbar-is-visible-or-not
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwin.py,19508268,1083,    # http://stackoverflow.com/questions/19508268/how-to-open-control-panel-in-python-using-win32-extension
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwin.py,397125,1149,  # http://stackoverflow.com/questions/397125/reading-the-target-of-a-lnk-file-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skstr.py,196345,15,# http://stackoverflow.com/questions/196345/how-to-check-if-a-string-in-python-is-in-ascii
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skstr.py,2556108,31,# http://stackoverflow.com/questions/2556108/how-to-replace-the-last-occurence-of-an-expression-in-a-string
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skstr.py,6609895,122,# http://stackoverflow.com/questions/6609895/efficiently-replace-bad-characters
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skstr.py,1695183,190,# See: http://stackoverflow.com/questions/1695183/how-to-percent-encode-url-parameters-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skstr.py,6701853,242,# http://stackoverflow.com/questions/6701853/parentheses-pairing-issue
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skstr.py,919056,324,# See: http://stackoverflow.com/questions/919056/python-case-insensitive-replace
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skdebug.py,5863512,17,# See: http://stackoverflow.com/questions/5863512/python-how-to-get-the-class-of-a-calling-method-through-inspection
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skdebug.py,3425512,217,# See: http://stackoverflow.com/questions/3425512/how-do-i-get-the-same-functionality-as-cs-function-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skclass.py,9937279,9,# See: http://stackoverflow.com/questions/9937279/can-modules-have-properties
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skwidgets.py,4272196,50,# See: http://stackoverflow.com/questions/4272196/qt-remove-all-widgets-from-layout
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skproc.py,13592219,33,  # http://stackoverflow.com/questions/13592219/launch-a-totally-independent-process-from-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skproc.py,13592219,56,  # http://stackoverflow.com/questions/13592219/launch-a-totally-independent-process-from-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skinspect.py,5863512,3,# See: http://stackoverflow.com/questions/5863512/python-how-to-get-the-class-of-a-calling-method-through-inspection
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/sknetwork.py,13971787,11,# http://stackoverflow.com/questions/13971787/how-do-i-save-cookies-with-qt
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/sknetwork.py,1969232,19,    # http://stackoverflow.com/questions/1969232/allowed-characters-in-cookies
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skfileio.py,7287996,29,# http://stackoverflow.com/questions/7287996/python-get-relative-path-from-comparing-two-absolute-paths
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skfileio.py,973473,241,# http://stackoverflow.com/questions/973473/getting-a-list-of-all-subdirectories-in-the-current-directory
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skfileio.py,973473,249,# http://stackoverflow.com/questions/973473/getting-a-list-of-all-subdirectories-in-the-current-directory
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skfileio.py,740820,281,# http://stackoverflow.com/questions/740820/python-write-string-directly-to-tarfile
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skfileio.py,9431918,304,# http://stackoverflow.com/questions/9431918/extracting-zip-file-contents-to-specific-directory-in-python-2-7
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skfileio.py,10701528,322,# http://stackoverflow.com/questions/10701528/example-of-how-to-use-pylzma
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skfileio.py,10701528,344,# http://stackoverflow.com/questions/10701528/example-of-how-to-use-pylzma
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skfileio.py,17217073,345,# http://stackoverflow.com/questions/17217073/how-to-decompress-a-xz-file-which-has-multiple-folders-files-inside-in-a-singl
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skfileio.py,10701528,381,# http://stackoverflow.com/questions/10701528/example-of-how-to-use-pylzma
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skos.py,1405913,15,# See: http://stackoverflow.com/questions/1405913/how-do-i-determine-if-my-python-shell-is-executing-in-32bit-or-64bit-mode
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skos.py,196930,21,# http://stackoverflow.com/questions/196930/how-to-check-if-os-is-vista-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/sakurakit/skos.py,9920452,37,  # http://stackoverflow.com/questions/1533200/qt-kill-current-process/9920452#9920452
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/unitraits/unichars.py,3826918,7,# See: http://stackoverflow.com/questions/3826918/how-to-classify-japanese-characters-as-either-kanji-or-kana
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/unitraits/unichars.py,3826918,27,# See: http://stackoverflow.com/questions/3826918/how-to-classify-japanese-characters-as-either-kanji-or-kana
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/unitraits/unichars.py,10981258,39,# http://stackoverflow.com/questions/10981258/how-can-i-specify-cyrillic-character-ranges-in-a-python-3-2-regex
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/libs/transer/infoseek.py,10115126,23,# See: http://stackoverflow.com/questions/10115126/python-requests-close-http-connection
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/scripts/initrc.py,7387276,36,# http://stackoverflow.com/questions/7387276/set-window-name-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/apps/reader/initrc.py,196930,163,  # http://stackoverflow.com/questions/196930/how-to-check-if-os-is-vista-in-python
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/apps/reader/qml/qmlplugin.py,8894244,30,# See: http://stackoverflow.com/questions/8894244/qml-and-blurring-image
/Users/jacob.caulfield/Documents/GitHub4/vnr/Frameworks/Sakura/py/apps/reader/managers/_trman.py,1006289,514,    # http://stackoverflow.com/questions/1006289/how-to-find-out-the-number-of-cpus-using-python
