post_id,count
38987,1
842059,1
7380629,1
3785294,2
13934994,1
10299807,2
444591,1
3465704,1
5253854,1
10334358,1
13128995,1
11939290,1
2802168,4
23889620,2
6187699,1
17418108,1
15306866,1
1823762,1
2086017,2
7259847,1
2775864,1
11875770,2
354038,1
16694907,1
480214,1
122327,1
20352794,1
1131220,1
7169845,1
1551605,2
7921307,1
1872480,1
9920452,2
1100605,1
6381198,1
10085381,2
19508268,1
397125,1
196345,1
2556108,1
6609895,1
1695183,1
6701853,1
919056,1
5863512,2
3425512,1
9937279,1
4272196,1
13592219,2
13971787,1
1969232,1
7287996,1
973473,2
740820,1
9431918,1
10701528,3
17217073,1
1405913,1
196930,4
3826918,2
10981258,1
10115126,2
7387276,1
8894244,1
1006289,1
2068344,1
12468613,1
19195935,1
12015170,1
5548121,3
3282328,1
380870,1
8362506,1
