post_id,before,after,before_span,after_span
38987,12,6,286046462,88249151
842059,2,0,264570841,0
7380629,0,0,0,0
3785294,0,0,0,0
13934994,1,1,150511259,16742010
10299807,2,1,146392765,86218574
444591,6,2,274459269,86847218
3465704,1,0,178336701,0
5253854,1,0,206630276,0
10334358,1,0,118774323,0
13128995,2,0,154883730,0
11939290,0,0,0,0
2802168,1,1,66312991,57244810
23889620,0,0,0,0
6187699,2,0,199579682,0
17418108,4,0,133681786,0
15306866,1,0,143500751,0
1823762,1,0,243691699,0
2086017,2,0,242520813,0
7259847,1,0,191569776,0
2775864,2,0,233340453,0
11875770,5,1,161943187,83792309
354038,6,0,277571689,0
16694907,3,5,137191022,78627184
480214,4,1,273418416,17466796
122327,0,0,0,0
20352794,0,0,0,0
1131220,2,0,145670180,0
7169845,0,0,0,0
1551605,3,0,251133166,0
7921307,0,0,0,0
1872480,0,0,0,0
9920452,0,0,0,0
1100605,1,0,259336312,0
6381198,1,0,198140812,0
10085381,0,0,0,0
19508268,0,0,0,0
397125,1,0,168617465,0
196345,3,0,273660548,0
2556108,4,0,158266448,0
6609895,3,0,196381398,0
1695183,2,0,65474970,0
6701853,5,0,195731693,0
919056,4,0,225977759,0
5863512,0,0,0,0
3425512,2,0,225315306,0
9937279,2,0,173340874,0
4272196,1,1,7656574,62266246
13592219,1,0,152378270,0
13971787,0,0,0,0
1969232,1,1,140159238,68876549
7287996,1,0,36114890,0
973473,2,0,69483013,0
740820,0,0,0,0
9431918,0,0,0,0
10701528,1,0,168689511,0
17217073,1,0,134685298,0
1405913,4,2,252343414,93634112
196930,0,0,0,0
3826918,5,0,220618099,0
10981258,3,0,166978340,0
10115126,1,3,172239116,88148906
7387276,2,0,75226452,0
8894244,3,0,179623526,0
1006289,4,0,261189296,0
2068344,7,0,210454023,0
12468613,0,0,0,0
19195935,2,0,125459388,0
12015170,1,0,161169494,0
5548121,1,0,10883055,0
3282328,3,0,226828611,0
380870,4,2,276734825,55758986
8362506,1,0,183565688,0
