post_id,creation_span,revision_span
38987,286113131,88220351
842059,264633381,-213929770
7380629,190685930,-190685930
3785294,221138505,-221138505
13934994,150614005,16713210
10299807,171177634,86189774
444591,274488624,86818418
3465704,224855137,-178365501
5253854,206739622,-206658570
10334358,171008005,-118803123
13128995,154912713,-10912964
11939290,161575688,-161575688
2802168,232964189,57216010
23889620,105260373,-105260373
6187699,199609058,-177764306
17418108,133711053,-133709607
15306866,143654320,-143529551
1823762,246817474,-243720499
2086017,242636392,-238619984
7259847,191648280,-191598576
2775864,233369876,-113702036
11875770,161976830,83763509
354038,277601579,-7263088
16694907,137220544,78598384
480214,273469963,17437996
122327,284265118,-284265118
20352794,120376405,-120376405
1131220,258792274,-75712061
7169845,192301330,-192301330
1551605,251163452,-132470781
7921307,186710636,-186710636
1872480,246105970,-246105970
9920452,173450577,-173450577
1100605,259366476,-259365112
6381198,198171270,-198169612
10085381,172408387,-172408387
19508268,124043692,-124043692
397125,275929514,-168646265
196345,282597781,-57448827
2556108,236388558,-13314831
6609895,196416334,-183455102
1695183,248806376,-45059592
6701853,195760808,-108861743
919056,262972877,-39496659
5863512,202076319,-202076319
3425512,225344453,-225343609
9937279,173370610,65051873
4272196,215816372,62237446
13592219,152407582,-152407070
13971787,150449663,-150449663
1969232,244451696,68847749
7287996,191465039,-36143690
973473,261852500,-40341046
740820,266968533,-266968533
9431918,176362830,-176362830
10701528,168766974,-168718311
17217073,134714260,-134714098
1405913,253858960,93605312
196930,282571287,-282571287
3826918,220647532,-122829420
10981258,167032599,-10914598
10115126,172269748,88120106
7387276,190626994,-61925882
8894244,179652950,-179489151
1006289,261219297,-89812797
2068344,242942537,-76312176
12468613,158528891,-158528891
19195935,125490833,-125485820
12015170,161199924,-94459955
5548121,204469147,-10911855
3282328,226902222,-143257200
380870,276764029,55730186
8362506,183595389,-183594488
